/net1 X,/net1 Y,/net7 X,/net7 Y,/time X,/time Y,/net20 X,/net20 Y,/net6 X,/net6 Y
0,1.068102063045359e-06,0,0.8995793318855921,0,0.3267123118797383,0,0.4735682645349243,0,0.0004606900043371502
5e-11,1.068806269696366e-06,5e-11,0.8995793214436113,5e-11,0.3267123061473652,5e-11,0.4737638810707153,5e-11,0.0005274541330758597
1.5e-10,1.06711607045619e-06,1.5e-10,0.8995790800107265,1.5e-10,0.326712165990767,1.5e-10,0.4741671263211255,1.5e-10,0.00066234181456121
3.5e-10,1.061791452585826e-06,3.5e-10,0.8995779730880253,3.5e-10,0.3267115244032002,3.5e-10,0.4749834329468546,3.5e-10,0.0009321986037715969
5e-10,1.058177973540919e-06,5e-10,0.8995762663107368,5e-10,0.3267105370566905,5e-10,0.4756106959940408,5e-10,0.001134626682785256
8.000000000000001e-10,1.05834191841289e-06,8.000000000000001e-10,0.8995745470130746,8.000000000000001e-10,0.326709543888635,8.000000000000001e-10,0.4769021708568011,8.000000000000001e-10,0.0007188655364920497
1.260703804803488e-09,1.059344374499728e-06,1.260703804803488e-09,0.8995762714242922,1.260703804803488e-09,0.3267105398018964,1.260703804803488e-09,0.4788977089584789,1.260703804803488e-09,-1.035384506299294e-05
1.887346899187026e-09,1.060487350415715e-06,1.887346899187026e-09,0.899588413779866,1.887346899187026e-09,0.3267175527717412,1.887346899187026e-09,0.4816268968268883,1.887346899187026e-09,-0.0009123802540032168
1.993673449593513e-09,1.06054841377745e-06,1.993673449593513e-09,0.8995909816742035,1.993673449593513e-09,0.32671903591519,1.993673449593513e-09,0.4820893220346743,1.993673449593513e-09,-0.001049415754638429
2.032505021042336e-09,1.076346988918212e-06,2.032505021042336e-09,0.8995919205189291,2.032505021042336e-09,0.3267195848197556,2.032505021042336e-09,0.4845803604523415,2.032505021042336e-09,-0.0002872128115543648
2.110168163939982e-09,1.105737862579593e-06,2.110168163939982e-09,0.8995935288290956,2.110168163939982e-09,0.3267205262533844,2.110168163939982e-09,0.4916957070485333,2.110168163939982e-09,0.001887208453944127
