/hit (dt=0) X,/hit (dt=0) Y,/hit (dt=1e-10) X,/hit (dt=1e-10) Y,/hit (dt=2e-10) X,/hit (dt=2e-10) Y,/hit (dt=3e-10) X,/hit (dt=3e-10) Y,/hit (dt=4e-10) X,/hit (dt=4e-10) Y,/net8 (dt=0) X,/net8 (dt=0) Y,/net8 (dt=1e-10) X,/net8 (dt=1e-10) Y,/net8 (dt=2e-10) X,/net8 (dt=2e-10) Y,/net8 (dt=3e-10) X,/net8 (dt=3e-10) Y,/net8 (dt=4e-10) X,/net8 (dt=4e-10) Y
5.203525430700458e-09,1.18510395649849e-06,5.263344596720511e-09,1.235794127135615e-06,5.332306518734078e-09,1.429707589506365e-06,5.3776504781504e-09,1.283950011268277e-06,5.445938974948887e-09,2.101819248926409e-06,5.203525430700458e-09,0.24423051684055,5.263344596720511e-09,0.2450168950807667,5.332306518734078e-09,0.2646130374681551,5.3776504781504e-09,0.2329514344511995,5.445938974948887e-09,0.2756338496933213
5.232353205009732e-09,1.288064866984487e-06,5.287264773588588e-09,1.387904564721151e-06,5.358939693707671e-09,1.825686904337651e-06,5.391257357318931e-09,1.73969965141149e-06,5.453232933069165e-09,3.40859773035848e-06,5.232353205009732e-09,0.2788238460116781,5.287264773588588e-09,0.2808971603828811,5.358939693707671e-09,0.3178793874153415,5.391257357318931e-09,0.2737720719567911,5.453232933069165e-09,0.319397598414985
5.26480789040456e-09,1.414905735913487e-06,5.314502841929651e-09,1.593616377005216e-06,5.37812353252584e-09,2.098211787041828e-06,5.404626578594938e-09,2.274882911104886e-06,5.463218287013728e-09,5.642828207182492e-06,5.26480789040456e-09,0.3177694684854714,5.314502841929651e-09,0.3217542628944758,5.37812353252584e-09,0.3562470650516797,5.404626578594938e-09,0.3138797357848118,5.463218287013728e-09,0.379309722082368
5.292502178705594e-09,1.714990056662487e-06,5.337462715026677e-09,1.822047214381927e-06,5.397641691571671e-09,3.918957896463047e-06,5.418695239539201e-09,2.893783498208446e-06,5.470568232201774e-09,7.155432649468144e-06,5.292502178705594e-09,0.3510026144467128,5.337462715026677e-09,0.3561940725400159,5.397641691571671e-09,0.3952833831433418,5.418695239539201e-09,0.3560857186176022,5.470568232201774e-09,0.4234093932106434
5.306268884446828e-09,3.119196431805619e-06,5.345780958934196e-09,2.622293009417651e-06,5.40169672080135e-09,6.085244302174779e-06,5.431590174531729e-09,3.485450811950882e-06,5.478820389463532e-09,1.266263104487516e-05,5.306268884446828e-09,0.3675226613361939,5.345780958934196e-09,0.3686714384012935,5.40169672080135e-09,0.4033934416026999,5.431590174531729e-09,0.3947705235951855,5.478820389463532e-09,0.4729223367811884
5.324206441039238e-09,3.738294093410334e-06,5.362417446749233e-09,5.267477523641959e-06,5.409806779260708e-09,8.71710911749908e-06,5.436361403383032e-09,4.449458406432129e-06,5.485178426703259e-09,3.65285443079011e-05,5.324206441039238e-09,0.3890477292470858,5.362417446749233e-09,0.3936261701238485,5.409806779260708e-09,0.419613558521416,5.436361403383032e-09,0.4090842101490959,5.485178426703259e-09,0.511070560219549
5.340517997990783e-09,8.143024020099018e-07,5.374972786031192e-09,3.781504356295765e-06,5.420429310690745e-09,4.699570090706125e-06,5.445746795412413e-09,1.254409323858452e-05,5.490294824770561e-09,5.104867029499951e-05,5.340517997990783e-09,0.4086215975889396,5.374972786031192e-09,0.4124591790467881,5.420429310690745e-09,0.4408586213814889,5.445746795412413e-09,0.4372403862372388,5.490294824770561e-09,0.541768948623362
5.359664735142243e-09,3.01203912514012e-07,5.399003569528268e-09,-2.871812150504593e-07,5.435509628149318e-09,6.008205149741107e-07,5.453273415027334e-09,1.558805196322739e-05,5.497251555200804e-09,3.890577656859302e-05,5.359664735142243e-09,0.4315976821706919,5.399003569528268e-09,0.4485053542924018,5.435509628149318e-09,0.4710192562986363,5.453273415027334e-09,0.459820245082002,5.497251555200804e-09,0.5835093312048222
5.379195814785779e-09,-1.026370604861625e-07,5.418998454179961e-09,-5.907488050713584e-07,5.449171869977325e-09,-1.114659285317655e-06,5.465835797810835e-09,6.748355293809974e-06,5.504606146177689e-09,3.935310391549261e-05,5.379195814785779e-09,0.4550349777429348,5.418998454179961e-09,0.4784976812699414,5.449171869977325e-09,0.4983437399546493,5.465835797810835e-09,0.4975073934325033,5.504606146177689e-09,0.627636877066132
5.399800923035991e-09,6.252373199567177e-07,5.436783987714793e-09,7.995315997155918e-07,5.463186813366325e-09,6.662365104740756e-07,5.478861143777686e-09,3.284743818900833e-07,5.511419428522294e-09,6.852046709800464e-05,5.399800923035991e-09,0.4797611076431894,5.436783987714793e-09,0.5051759815721891,5.463186813366325e-09,0.5263736267326502,5.478861143777686e-09,0.5365834313330576,5.511419428522294e-09,0.6685165711337596
