/time (G=3) X,/time (G=3) Y,/time (G=5) X,/time (G=5) Y,/time (G=7) X,/time (G=7) Y,/time (G=9) X,/time (G=9) Y,/net6 (G=3) X,/net6 (G=3) Y,/net6 (G=5) X,/net6 (G=5) Y,/net6 (G=7) X,/net6 (G=7) Y,/net6 (G=9) X,/net6 (G=9) Y
2.034210526315789e-09,0.3153114244231244,2.034210526315789e-09,0.3132485164327043,2.034210526315789e-09,0.3107929698553157,2.034210526315789e-09,0.3078695124289895,2.034210526315789e-09,0.0008631114034343293,2.034210526315789e-09,0.001095408708030201,2.034210526315789e-09,0.001322488637346234,2.034210526315789e-09,0.001544421074901501
2.080124653739612e-09,0.315290785970646,2.080124653739612e-09,0.3132103503029473,2.080124653739612e-09,0.3107340548225573,2.080124653739612e-09,0.3077868149305574,2.080124653739612e-09,0.001246134106615148,2.080124653739612e-09,0.001733279993997402,2.080124653739612e-09,0.002214944749790104,2.080124653739612e-09,0.002691067906762793
2.121602035837784e-09,0.3152342637974224,2.121602035837784e-09,0.3131007547906594,2.121602035837784e-09,0.3105544141140569,2.122560672467784e-09,0.3075087336124214,2.121602035837784e-09,0.001761463806482789,2.121602035837784e-09,0.002591723037244557,2.121602035837784e-09,0.003416255986363013,2.122560672467784e-09,0.004282934495691484
2.2e-09,0.3148486449631098,2.2e-09,0.3123185208894296,2.2e-09,0.3092298736054498,2.2e-09,0.3054681985782421,2.2e-09,0.003088419434277827,2.2e-09,0.004802385044372636,2.2e-09,0.006510108523299159,2.2e-09,0.00821152011458515
2.20325e-09,0.31482206554951,2.20325e-09,0.3122635679229933,2.20325e-09,0.3091347824020889,2.20325e-09,0.3053176548998361,2.20325e-09,0.003389315829458243,2.20325e-09,0.005303694014217237,2.20325e-09,0.007211677407315214,2.20325e-09,0.009112984587411013
2.20975e-09,0.3147660643109138,2.20975e-09,0.3121482893807763,2.20975e-09,0.3089347346708127,2.20975e-09,0.3050007461952491,2.20975e-09,0.004038380615984943,2.20975e-09,0.006385015836906917,2.20975e-09,0.008724871443105811,2.20975e-09,0.01105753301856606
2.22275e-09,0.3146407830442171,2.22275e-09,0.311887392480872,2.22275e-09,0.3084794698113449,2.22275e-09,0.3042739963708237,2.22275e-09,0.005392126806425854,2.22275e-09,0.008640527819809974,2.22275e-09,0.01188155161338019,2.22275e-09,0.01511483889022639
2.244247133828928e-09,0.3143814368867889,2.240917269265767e-09,0.3114377722722645,2.239023010079403e-09,0.3077794149201268,2.237736505378906e-09,0.3032442440045445,2.244247133828928e-09,0.007611959946027746,2.240917269265767e-09,0.01176497113288727,2.239023010079403e-09,0.01579736969709156,2.237736505378906e-09,0.01974897501732725
2.272757053119185e-09,0.3138320204612439,2.264338876248034e-09,0.3105706819513712,2.259631365602498e-09,0.3064945501507595,2.256469559984345e-09,0.3014122678869449,2.272757053119185e-09,0.01056875672687637,2.264338876248034e-09,0.01581219842112033,2.259631365602498e-09,0.02078129294590523,2.256469559984345e-09,0.02557184797263129
2.30005687436651e-09,0.3128957026131102,2.308676685571044e-09,0.306661506443101,2.298279634863746e-09,0.3009517749482714,2.290414895491296e-09,0.2941234016604489,2.30005687436651e-09,0.0133966522117052,2.308676685571044e-09,0.0239504289493251,2.298279634863746e-09,0.03011382584716071,2.290414895491296e-09,0.03610676024529757
