/net1 X,/net1 Y,/net7 X,/net7 Y,/time X,/time Y,/net20 X,/net20 Y,/net6 X,/net6 Y
0,1.068102063115343e-06,0,0.8995792588257626,0,0.326712260417011,0,0.4735682645349243,0,0.0005050244920611178
5e-11,1.068803075052683e-06,5e-11,0.8995792476475185,5e-11,0.3267122542579644,5e-11,0.4737638808728754,5e-11,0.0005764479976547375
1.5e-10,1.067096977270582e-06,1.5e-10,0.8995789886709498,1.5e-10,0.3267121039618739,1.5e-10,0.4741671242144597,1.5e-10,0.0007210062983347463
3.5e-10,1.061731273441777e-06,3.5e-10,0.8995777999160746,3.5e-10,0.3267114150919051,3.5e-10,0.4749834238704951,3.5e-10,0.001010274716089371
5e-10,1.058081949618942e-06,5e-10,0.8995759637477041,5e-10,0.3267103529950559,5e-10,0.475610678035119,5e-10,0.001227299931464561
8.000000000000001e-10,1.057540986961061e-06,8.000000000000001e-10,0.899571595961975,8.000000000000001e-10,0.3267078297336342,8.000000000000001e-10,0.4769020035821877,8.000000000000001e-10,0.001225347937326298
1.371180377562777e-09,1.057887593275705e-06,1.371180377562777e-09,0.8995663655744313,1.371180377562777e-09,0.3267048077154259,1.371180377562777e-09,0.4793768611227642,1.371180377562777e-09,0.0009823965497140306
1.735590188781388e-09,1.058545154754926e-06,1.735590188781388e-09,0.8995665116033373,1.735590188781388e-09,0.3267048908243156,1.735590188781388e-09,0.4809657626201629,1.735590188781388e-09,0.0008484078587429878
1.917795094390694e-09,1.059041363631636e-06,1.917795094390694e-09,0.8995674923190298,1.917795094390694e-09,0.3267054564888969,1.917795094390694e-09,0.481758634787881,1.917795094390694e-09,0.0007867799021352207
2.008897547195347e-09,1.0625559600698e-06,2.008897547195347e-09,0.8995679614604752,2.008897547195347e-09,0.3267057284249169,2.008897547195347e-09,0.4828138422757592,2.008897547195347e-09,0.001002521529792894
2.049759377477777e-09,1.07817545042334e-06,2.049759377477777e-09,0.8995681595227962,2.049759377477777e-09,0.3267058491640922,2.049759377477777e-09,0.4859513195906801,2.049759377477777e-09,0.002089324393819319
2.131483038042638e-09,1.106342544891782e-06,2.131483038042638e-09,0.8995675328040961,2.131483038042638e-09,0.3267054987405715,2.131483038042638e-09,0.495059380306068,2.131483038042638e-09,0.005228668979062294
2.165741519021319e-09,1.119119735066509e-06,2.165741519021319e-09,0.899566359449911,2.165741519021319e-09,0.3267048263634266,2.165741519021319e-09,0.5003342298903456,2.165741519021319e-09,0.007124380023940256
2.2e-09,1.019616120691119e-06,2.2e-09,0.8995632902425397,2.2e-09,0.326703011847202,2.2e-09,0.5059462022146087,2.2e-09,0.009067759904924767
2.20325e-09,1.108443313807717e-06,2.20325e-09,0.8995630825485725,2.20325e-09,0.3267029291041316,2.20325e-09,0.508196772689702,2.20325e-09,0.01006925142754087
2.209750000000001e-09,1.0630695596653e-06,2.209750000000001e-09,0.8995623873691622,2.209750000000001e-09,0.3267025083258225,2.209750000000001e-09,0.5138235678343623,2.209750000000001e-09,0.01222974013208294
2.222750000000002e-09,1.00706486535486e-06,2.222750000000002e-09,0.899559600861084,2.222750000000002e-09,0.3267008768839578,2.222750000000002e-09,0.5262603496498431,2.222750000000002e-09,0.01673589253688047
2.237202055173164e-09,1.869109711374324e-06,2.237202055173164e-09,0.899556840610606,2.237202055173164e-09,0.3266996454726602,2.237202055173164e-09,0.539537635107704,2.237202055173164e-09,0.02169762383514698
2.255130225241961e-09,2.964626950519535e-06,2.255130225241961e-09,0.8995550271356894,2.255130225241961e-09,0.3266990592841512,2.255130225241961e-09,0.556195271189869,2.255130225241961e-09,0.02788668540191629
2.288313953769113e-09,5.017216902504386e-06,2.288313953769113e-09,0.8995455566503828,2.288313953769113e-09,0.3266944597996716,2.288313953769113e-09,0.5870323135070036,2.288313953769113e-09,0.03932275873103828
2.304082527065947e-09,7.72941304670631e-06,2.304082527065947e-09,0.8995346153030235,2.304082527065947e-09,0.326689290234955,2.304082527065947e-09,0.60306412942377,2.304082527065947e-09,0.04520691938642784
2.320633656277163e-09,9.146915599660343e-06,2.320633656277163e-09,0.8995122115840091,2.320633656277163e-09,0.3266769523389656,2.320633656277163e-09,0.623409159975426,2.320633656277163e-09,0.05274955403434028
2.334224111685339e-09,1.387718696406669e-05,2.334224111685339e-09,0.8994778596411868,2.334224111685339e-09,0.3266591265527843,2.334224111685339e-09,0.6411190833015736,2.334224111685339e-09,0.05904727142119451
2.356347615460494e-09,3.005953317302821e-05,2.356347615460494e-09,0.8993336864218854,2.356347615460494e-09,0.3265827280090939,2.356347615460494e-09,0.6696272336982633,2.356347615460494e-09,0.0692066160283432
2.385301063016131e-09,-6.156910091791559e-05,2.385301063016131e-09,0.8981284796935878,2.385301063016131e-09,0.3258480851033976,2.385301063016131e-09,0.7078234514299767,2.385301063016131e-09,0.08256951828237105
2.397205501750387e-09,-0.0001368466910677478,2.397205501750387e-09,0.8963494197608282,2.397205501750387e-09,0.3247889634228722,2.397205501750387e-09,0.7233063273934253,2.397205501750387e-09,0.08804603409773633
2.403030920518476e-09,-0.0001530061049205374,2.403030920518476e-09,0.894543345072169,2.403030920518476e-09,0.3237388154252324,2.403030920518476e-09,0.729410770414565,2.403030920518476e-09,0.08984119009043999
2.414681758054654e-09,-0.0002130178350459676,2.414681758054654e-09,0.886022310420192,2.414681758054654e-09,0.3187804269728572,2.414681758054654e-09,0.7356473966718703,2.414681758054654e-09,0.09132970479205244
2.419933848254872e-09,-0.000262796153238932,2.419933848254872e-09,0.8787330086850018,2.419933848254872e-09,0.3145268007964622,2.419933848254872e-09,0.7376495607021166,2.419933848254872e-09,0.09189624251084014
2.430438028655308e-09,-0.0004344569820462098,2.430438028655308e-09,0.849487155877224,2.430438028655308e-09,0.2973761037378796,2.430438028655308e-09,0.7421970304453008,2.430438028655308e-09,0.09310675567607035
2.44105760988318e-09,-0.0007234338732658359,2.44105760988318e-09,0.7869697768109779,2.44105760988318e-09,0.2604044752197333,2.44105760988318e-09,0.7464150156232837,2.44105760988318e-09,0.09432321898559028
2.451006365579457e-09,-0.001117770733775874,2.451006365579457e-09,0.6813827000528641,2.451006365579457e-09,0.1978510121608575,2.451006365579457e-09,0.750273056877035,2.451006365579457e-09,0.09545785924867912
2.4603488444543e-09,-0.001530477269435784,2.4603488444543e-09,0.5356638238440647,2.4603488444543e-09,0.1123905895796494,2.4603488444543e-09,0.7537900320050609,2.4603488444543e-09,0.09652281891603029
2.473501029845825e-09,-0.001943211681716512,2.473501029845825e-09,0.2772801131989117,2.473501029845825e-09,-0.03469729636275831,2.473501029845825e-09,0.7586543819815494,2.473501029845825e-09,0.09801631601448189
2.479566469701491e-09,-0.00188669582427291,2.479566469701491e-09,0.1605969406335977,2.479566469701491e-09,-0.09801544753551465,2.479566469701491e-09,0.7608608755137186,2.479566469701491e-09,0.09870979499492133
2.486325329181494e-09,-0.001514747678540069,2.486325329181494e-09,0.07075076411592593,2.486325329181494e-09,-0.1448352794689337,2.486325329181494e-09,0.7632984849343902,2.486325329181494e-09,0.09947891600754716
2.491361894954766e-09,-0.00114622932201174,2.491361894954766e-09,0.03461714552215235,2.491361894954766e-09,-0.163249093228045,2.491361894954766e-09,0.7650991517921001,2.491361894954766e-09,0.1000713053715421
2.497083089094419e-09,-0.0007888477079868245,2.497083089094419e-09,0.01437893493465477,2.497083089094419e-09,-0.1735493411632985,2.497083089094419e-09,0.7671285587214126,2.497083089094419e-09,0.1007549821288886
2.503035380775387e-09,-0.000531148439330512,2.503035380775387e-09,0.005633280709631615,2.503035380775387e-09,-0.1780996283964233,2.503035380775387e-09,0.7689684604208979,2.503035380775387e-09,0.1012912849886209
2.509125715068615e-09,-0.0003669216906875046,2.509125715068615e-09,0.002198920433387852,2.509125715068615e-09,-0.180014455746894,2.509125715068615e-09,0.7703725540982947,2.509125715068615e-09,0.1016081275568044
2.516361879485698e-09,-0.0002437273353001789,2.516361879485698e-09,0.0007408962914559345,2.516361879485698e-09,-0.1809789670724938,2.516361879485698e-09,0.7718352410626732,2.516361879485698e-09,0.1019452859699429
