/net1 X,/net1 Y,/net7 X,/net7 Y,/time X,/time Y,/net20 X,/net20 Y,/net49 X,/net49 Y
0,1.068102063300793e-06,0,0.8995800864451269,0,0.3267128432528681,0,0.4735682645349242,0,4.301241506580075e-08
5e-11,1.06880994784938e-06,5e-11,0.8995800769328879,5e-11,0.3267128380588164,5e-11,0.4737638812866191,5e-11,6.196274556383666e-05
1.5e-10,1.067138327918336e-06,1.5e-10,0.8995798562826787,1.5e-10,0.326712709913238,1.5e-10,0.4741671286530522,1.5e-10,0.0001868237310289416
3.408623844514786e-10,1.062056450415412e-06,3.408623844514786e-10,0.8995789170004952,3.408623844514786e-10,0.326712165254858,3.408623844514786e-10,0.4749456617961056,3.408623844514786e-10,0.0004251920494631318
5e-10,1.058322542836348e-06,5e-10,0.8995772866841354,5e-10,0.3267112220211176,5e-10,0.4756107414591312,5e-10,0.0006239670381329462
8.18275231097043e-10,1.059410996538274e-06,8.18275231097043e-10,0.8995792138914664,8.18275231097043e-10,0.3267123354956735,8.18275231097043e-10,0.4769817218464628,8.18275231097043e-10,-0.0004349343880857138
1.211574448987681e-09,1.060469789798313e-06,1.211574448987681e-09,0.8995856835123073,1.211574448987681e-09,0.3267160725988073,1.211574448987681e-09,0.4786852073211253,1.211574448987681e-09,-0.001373973679744937
1.721369955384072e-09,1.060477178236922e-06,1.721369955384072e-09,0.8995993926136443,1.721369955384072e-09,0.3267239912419669,1.721369955384072e-09,0.4809046604191336,1.721369955384072e-09,-0.002252876779959466
1.910684977692036e-09,1.060606747118176e-06,1.910684977692036e-09,0.899604165602907,1.910684977692036e-09,0.326726748646646,1.910684977692036e-09,0.4817283038562643,1.910684977692036e-09,-0.002441748105679596
2.005342488846018e-09,1.061841418566826e-06,2.005342488846018e-09,0.8996062840622913,2.005342488846018e-09,0.3267279732031589,2.005342488846018e-09,0.4825359501058744,2.005342488846018e-09,-0.002409349291863362
2.042717166582488e-09,1.078755517244588e-06,2.042717166582488e-09,0.8996070492786683,2.042717166582488e-09,0.3267284225460862,2.042717166582488e-09,0.485380378758156,2.042717166582488e-09,-0.001576829703302247
2.104322097216302e-09,1.106094049263514e-06,2.104322097216302e-09,0.8996082624877916,2.104322097216302e-09,0.3267291351825226,2.104322097216302e-09,0.4907958259847057,2.104322097216302e-09,-5.554664847337207e-05
2.143784323319887e-09,1.122387058804217e-06,2.143784323319887e-09,0.8996089700846468,2.143784323319887e-09,0.3267295510637205,2.143784323319887e-09,0.4967742612959415,2.143784323319887e-09,0.001797493873093902
2.171892161659944e-09,1.076097532556985e-06,2.171892161659944e-09,0.8996089535496159,2.171892161659944e-09,0.3267295223907876,2.171892161659944e-09,0.5015107860253574,2.171892161659944e-09,0.003161972204946764
2.2e-09,1.130275525895661e-06,2.2e-09,0.8996088032962355,2.2e-09,0.3267294585267965,2.2e-09,0.5057692851202273,2.2e-09,0.004484528435424072
2.20325e-09,1.161732810141854e-06,2.20325e-09,0.8996089263848526,2.20325e-09,0.3267295426774243,2.20325e-09,0.5081351036985439,2.20325e-09,0.00538739209020667
2.209750000000001e-09,1.052713735027623e-06,2.209750000000001e-09,0.8996089157100824,2.209750000000001e-09,0.3267294906062313,2.209750000000001e-09,0.5138311618445224,2.209750000000001e-09,0.007274658301188328
2.222529454482471e-09,1.018069289506821e-06,2.222529454482471e-09,0.8996077974514679,2.222529454482471e-09,0.3267288318488822,2.222529454482471e-09,0.526025947556889,2.222529454482471e-09,0.01108959716409487
2.233522881765137e-09,1.680275254623832e-06,2.233522881765137e-09,0.8996068977380178,2.233522881765137e-09,0.3267285915166175,2.233522881765137e-09,0.5361265833750699,2.233522881765137e-09,0.01435341270395587
2.247026495526537e-09,2.510259890964532e-06,2.247026495526537e-09,0.8996067727889545,2.247026495526537e-09,0.3267288687184425,2.247026495526537e-09,0.5486787723653785,2.247026495526537e-09,0.01837816515075719
2.271462268476523e-09,3.981038752190994e-06,2.271462268476523e-09,0.8996071854797302,2.271462268476523e-09,0.3267297288825333,2.271462268476523e-09,0.5712532443412683,2.271462268476523e-09,0.02565020923576038
2.303140626688884e-09,6.770068797725448e-06,2.303140626688884e-09,0.8996050531356863,2.303140626688884e-09,0.3267296771086419,2.303140626688884e-09,0.6019824825916036,2.303140626688884e-09,0.03539019716963094
2.313088574608929e-09,9.022885608798253e-06,2.313088574608929e-09,0.8996031814352222,2.313088574608929e-09,0.3267295503942992,2.313088574608929e-09,0.6138459611395114,2.313088574608929e-09,0.0392896173621271
