/hit (dt=0) X,/hit (dt=0) Y,/hit (dt=1e-10) X,/hit (dt=1e-10) Y,/hit (dt=2e-10) X,/hit (dt=2e-10) Y,/hit (dt=3e-10) X,/hit (dt=3e-10) Y,/hit (dt=4e-10) X,/hit (dt=4e-10) Y,/net8 (dt=0) X,/net8 (dt=0) Y,/net8 (dt=1e-10) X,/net8 (dt=1e-10) Y,/net8 (dt=2e-10) X,/net8 (dt=2e-10) Y,/net8 (dt=3e-10) X,/net8 (dt=3e-10) Y,/net8 (dt=4e-10) X,/net8 (dt=4e-10) Y
5.615624791838394e-09,-0.000196335583052902,5.598864463165481e-09,-0.0001846058931249241,5.605010210635617e-09,-0.0002373833496810128,5.570216161880793e-09,-0.000191669854706161,5.545452768160555e-09,-0.0001386411119785421,5.615624791838394e-09,0.7848747751854656,5.598864463165481e-09,0.7934670252733993,5.605010210635617e-09,0.8490183791441108,5.570216161880793e-09,0.849583637078141,5.545452768160555e-09,0.9054449480669943
5.631370004673679e-09,-0.0002240846531639977,5.612339241345286e-09,-0.0002190537190279754,5.618595312151906e-09,-0.0002493907927061041,5.579760004058441e-09,-0.0002296732376900006,5.554334960870767e-09,-0.0002278336103382128,5.631370004673679e-09,0.8018796050475728,5.612339241345286e-09,0.8116579758161359,5.618595312151906e-09,0.8734715618734301,5.579760004058441e-09,0.8753520109577889,5.554334960870767e-09,0.9534087887021385
5.65094486180771e-09,-0.0002349797845509291,5.63043150330326e-09,-0.0002417070080263589,5.633062549666527e-09,-0.0002515590344025572,5.589727026742281e-09,-0.000248589649345895,5.560746196892322e-09,-0.0002553462449441163,5.65094486180771e-09,0.8230204507523264,5.63043150330326e-09,0.8360825294594005,5.633062549666527e-09,0.8995125893997484,5.589727026742281e-09,0.9022629722041572,5.560746196892322e-09,0.9880294632185345
5.668932287839699e-09,-0.0002225814139736953,5.646226900390662e-09,-0.0002440479896814731,5.651285387463718e-09,-0.0002447246548151945,5.600829083036879e-09,-0.0002563535692419259,5.568718512698197e-09,-0.0002681331957493324,5.668932287839699e-09,0.8424468708668749,5.646226900390662e-09,0.8574063155273931,5.651285387463718e-09,0.9323136974346914,5.600829083036879e-09,0.9322385241995726,5.568718512698197e-09,1.031079968570259
5.689727305665814e-09,-0.0001718575719448368,5.664208718045566e-09,-0.0002320870495055884,5.676848063155751e-09,-0.0002090507055399005,5.614648701399594e-09,-0.000257971285009678,5.578002408969952e-09,-0.0002705258005846912,5.689727305665814e-09,0.864905490119079,5.664208718045566e-09,0.8816817693615141,5.676848063155751e-09,0.9783265136803523,5.614648701399594e-09,0.969551493778904,5.578002408969952e-09,1.081213008437738
5.716338004875543e-09,1.557929048798279e-05,5.686751038046935e-09,-0.0001840648938556771,5.716367748951482e-09,3.41205245223289e-05,5.633455569107223e-09,-0.0002543575927451265,5.589001204484977e-09,-0.0002686444259496375,5.716338004875543e-09,0.8936450452655864,5.686751038046935e-09,0.9121139013633618,5.716367748951482e-09,1.049461948112667,5.633455569107223e-09,1.020330036589502,5.589001204484977e-09,1.140606504218872
5.756960689438346e-09,0.001106181105258454,5.721042529675877e-09,7.608038802442551e-05,5.758183874475741e-09,0.001222177388589965,5.661446856096401e-09,-0.0002345946217615453,5.600000000000001e-09,-0.0002657694496460407,5.756960689438346e-09,0.9375175445934135,5.721042529675877e-09,0.9584074150624338,5.758183874475741e-09,1.124730974056333,5.661446856096401e-09,1.095906511460282,5.600000000000001e-09,1.2
5.821866123223572e-09,0.01020180600656817,5.777678272037069e-09,0.002581566318606548,5.800000000000001e-09,0.00550881954788868,5.700000000000001e-09,-0.0001062714691899101,5.603495406012601e-09,-0.0002682507059072006,5.821866123223572e-09,1.007615413081458,5.777678272037069e-09,1.034865667250043,5.800000000000001e-09,1.2,5.700000000000001e-09,1.2,5.603495406012601e-09,1.2
5.894439258215399e-09,0.05104628483031437,5.838839136018534e-09,0.01541409777901697,5.811561653918536e-09,0.007830576125030277,5.71203523858353e-09,-2.570828674742651e-06,5.609317137885142e-09,-0.0002681142156652207,5.894439258215399e-09,1.085994398872631,5.838839136018534e-09,1.117432833625021,5.811561653918536e-09,1.2,5.71203523858353e-09,1.2,5.609317137885142e-09,1.2
5.954247004331863e-09,0.1519062396812369,5.9e-09,0.05630049342942645,5.831677768585835e-09,0.01315403513434092,5.72822762272031e-09,0.000222018288200871,5.614714615226637e-09,-0.0002643287046509962,5.954247004331863e-09,1.150586764678412,5.9e-09,1.2,5.831677768585835e-09,1.2,5.72822762272031e-09,1.2,5.614714615226637e-09,1.2
