/out1 (G=1) X,/out1 (G=1) Y,/out1 (G=3) X,/out1 (G=3) Y,/out1 (G=5) X,/out1 (G=5) Y,/out1 (G=7) X,/out1 (G=7) Y,/out1 (G=9) X,/out1 (G=9) Y
0,0,0,0,0,0,0,0,0,0
5e-11,6.249999999999999e-06,5e-11,1.875e-05,5e-11,3.125e-05,5e-11,4.374999999999999e-05,5e-11,5.625e-05
1.5e-10,1.875e-05,1.5e-10,5.625000000000001e-05,1.5e-10,9.374999999999999e-05,1.5e-10,0.00013125,1.5e-10,0.00016875
3.5e-10,4.374999999999999e-05,3.5e-10,0.00013125,3.5e-10,0.00021875,3.5e-10,0.0003062499999999999,3.476688271432634e-10,0.0003911274305361712
5e-10,6.25e-05,5e-10,0.0001875,5e-10,0.0003125,5e-10,0.0004375,5e-10,0.0005625
8.000000000000001e-10,-3.716215160497125e-05,8.000000000000001e-10,-0.0001117836103596636,8.000000000000001e-10,-0.0001868012207479684,8.000000000000001e-10,-0.0002617748326331966,8.046623457134734e-10,-0.0003517549996054739
1.4e-09,-0.0001672533914847029,1.4e-09,-0.0005033408785867595,1.4e-09,-0.000844275426230133,1.35566406574877e-09,-0.001143860951630766,1.319355259102051e-09,-0.001428082531546082
1.75e-09,-0.0002174611713759019,1.75e-09,-0.0006567788653294628,1.75e-09,-0.001104249383555816,1.996930041951658e-09,-0.001751221943986996,1.905575536356529e-09,-0.002204475169032507
1.925e-09,-0.0002406694330575339,1.925e-09,-0.0007280375434580762,1.925e-09,-0.001225122993554013,2.033307592617928e-09,-0.001214931544388465,2.002787768178264e-09,-0.002214075950276863
2.0125e-09,-0.0002168991791064471,2.0125e-09,-0.0006582234367941679,2.0125e-09,-0.001109782192559179,2.106062693950469e-09,6.582250404917446e-05,2.03823158833463e-09,-0.001481690893839469
2.057401315789474e-09,-0.0001132950356315472,2.057401315789474e-09,-0.0003481790267955829,2.057401315789474e-09,-0.0005935628999434081,2.154793306483278e-09,0.001705381238794125,2.08629363901549e-09,-0.0004885719934187727
