/I7/MINUS (iin=2e-05) X,/I7/MINUS (iin=2e-05) Y,/I7/MINUS (iin=4e-05) X,/I7/MINUS (iin=4e-05) Y,/I7/MINUS (iin=6e-05) X,/I7/MINUS (iin=6e-05) Y,/I7/MINUS (iin=8e-05) X,/I7/MINUS (iin=8e-05) Y,/vin (iin=2e-05) X,/vin (iin=2e-05) Y,/vin (iin=4e-05) X,/vin (iin=4e-05) Y,/vin (iin=6e-05) X,/vin (iin=6e-05) Y,/vin (iin=8e-05) X,/vin (iin=8e-05) Y,/v_preamp (iin=2e-05) X,/v_preamp (iin=2e-05) Y,/v_preamp (iin=4e-05) X,/v_preamp (iin=4e-05) Y,/v_preamp (iin=6e-05) X,/v_preamp (iin=6e-05) Y,/v_preamp (iin=8e-05) X,/v_preamp (iin=8e-05) Y,/CFD_shaped (iin=2e-05) X,/CFD_shaped (iin=2e-05) Y,/CFD_shaped (iin=4e-05) X,/CFD_shaped (iin=4e-05) Y,/CFD_shaped (iin=6e-05) X,/CFD_shaped (iin=6e-05) Y,/CFD_shaped (iin=8e-05) X,/CFD_shaped (iin=8e-05) Y
6e-10,0,6e-10,0,6e-10,0,6e-10,0,6e-10,0.7395184117621463,6e-10,0.7395184117621463,6e-10,0.7395184117621463,6e-10,0.7395184117621463,6e-10,0.03933978396834783,6e-10,0.03933978396834783,6e-10,0.03933978396834783,6e-10,0.03933978396834783,6e-10,0.0118743201414657,6e-10,0.0118743201414657,6e-10,0.0118743201414657,6e-10,0.0118743201414657
7e-10,0,7e-10,0,7e-10,0,7e-10,0,7e-10,0.739518411764202,7e-10,0.739518411764202,7e-10,0.739518411764202,7e-10,0.739518411764202,7e-10,0.03933978396294822,7e-10,0.03933978396294822,7e-10,0.03933978396294822,7e-10,0.03933978396294822,7e-10,0.01187432014538783,7e-10,0.01187432014538783,7e-10,0.01187432014538783,7e-10,0.01187432014538783
7.999999999999999e-10,0,7.999999999999999e-10,0,7.999999999999999e-10,0,7.999999999999999e-10,0,7.999999999999999e-10,0.739518411765639,7.999999999999999e-10,0.739518411765639,7.999999999999999e-10,0.739518411765639,7.999999999999999e-10,0.739518411765639,7.999999999999999e-10,0.03933978397522641,7.999999999999999e-10,0.03933978397522641,7.999999999999999e-10,0.03933978397522641,7.999999999999999e-10,0.03933978397522641,7.999999999999999e-10,0.01187432015737094,7.999999999999999e-10,0.01187432015737094,7.999999999999999e-10,0.01187432015737094,7.999999999999999e-10,0.01187432015737094
8.999999999999999e-10,0,8.999999999999999e-10,0,8.999999999999999e-10,0,8.999999999999999e-10,0,8.999999999999999e-10,0.7395184117647513,8.999999999999999e-10,0.7395184117647513,8.999999999999999e-10,0.7395184117647513,8.999999999999999e-10,0.7395184117647513,8.999999999999999e-10,0.03933978399635896,8.999999999999999e-10,0.03933978399635896,8.999999999999999e-10,0.03933978399635896,8.999999999999999e-10,0.03933978399635896,8.999999999999999e-10,0.01187432017736286,8.999999999999999e-10,0.01187432017736286,8.999999999999999e-10,0.01187432017736286,8.999999999999999e-10,0.01187432017736286
9.999999999999999e-10,0,9.999999999999999e-10,0,9.999999999999999e-10,0,9.999999999999999e-10,0,9.999999999999999e-10,0.7395184117616806,9.999999999999999e-10,0.7395184117616806,9.999999999999999e-10,0.7395184117616806,9.999999999999999e-10,0.7395184117616806,9.999999999999999e-10,0.03933978401613201,9.999999999999999e-10,0.03933978401613201,9.999999999999999e-10,0.03933978401613201,9.999999999999999e-10,0.03933978401613201,9.999999999999999e-10,0.01187432019826749,9.999999999999999e-10,0.01187432019826749,9.999999999999999e-10,0.01187432019826749,9.999999999999999e-10,0.01187432019826749
1.042278817089197e-09,-2.415932405096997e-06,1.025e-09,-2.857142857142836e-06,1.025e-09,-4.285714285714253e-06,1.025e-09,-5.714285714285672e-06,1.042278817089197e-09,0.7399186848888162,1.025e-09,0.7398321589223927,1.025e-09,0.739989032503076,1.025e-09,0.7401459060837595,1.042278817089197e-09,0.03983274145892608,1.025e-09,0.03956492425680696,1.025e-09,0.03967749437570508,1.025e-09,0.03979006449460329,1.042278817089197e-09,0.01201481834925778,1.025e-09,0.0119378454432107,1.025e-09,0.01196960806320256,1.025e-09,0.01200137068319443
1.123688800522418e-09,-7.067931458423872e-06,1.075e-09,-8.571428571428554e-06,1.075e-09,-1.285714285714283e-05,1.075e-09,-1.714285714285711e-05,1.123688800522418e-09,0.741199223931774,1.075e-09,0.7410015708202978,1.075e-09,0.7417421669033182,1.075e-09,0.7424820413852691,1.123688800522418e-09,0.04239796400561926,1.075e-09,0.04083446368955319,1.075e-09,0.04159208837174333,1.075e-09,0.04235650536544384,1.123688800522418e-09,0.01274974394527019,1.075e-09,0.01229906008009564,1.075e-09,0.01251432553269007,1.075e-09,0.01273150533653995
1.223688800522418e-09,-1.278221717270959e-05,1.149661523170217e-09,-1.710417407659617e-05,1.119414875097742e-09,-2.047112144532712e-05,1.114529588255372e-09,-2.617819160122792e-05,1.223688800522418e-09,0.7432586149449856,1.149661523170217e-09,0.7440921426391067,1.119414875097742e-09,0.7444054181103246,1.114529588255372e-09,0.7456029355854575,1.223688800522418e-09,0.05153549626107026,1.149661523170217e-09,0.04791412545240051,1.119414875097742e-09,0.04637529688276583,1.114529588255372e-09,0.04781279636181246,1.223688800522418e-09,0.01537971025744903,1.149661523170217e-09,0.01432777709427458,1.119414875097742e-09,0.01388152986239214,1.114529588255372e-09,0.01429013008491362
1.286844400261209e-09,-1.63911085863548e-05,1.20205581122276e-09,-2.309209271117258e-05,1.163740657752042e-09,-2.806982704320722e-05,1.154372332515918e-09,-3.528510457506689e-05,1.286844400261209e-09,0.7440861756172692,1.20205581122276e-09,0.7464389197008254,1.163740657752042e-09,0.7474871846415734,1.154372332515918e-09,0.7492613549922387,1.286844400261209e-09,0.06139782490938801,1.20205581122276e-09,0.0587998772107782,1.163740657752042e-09,0.0561397635834156,1.154372332515918e-09,0.05868763389296906,1.286844400261209e-09,0.01822576593553754,1.20205581122276e-09,0.01745551224350202,1.163740657752042e-09,0.01668121176104487,1.154372332515918e-09,0.01740570497865167
1.35e-09,-2e-05,1.263655492863668e-09,-3.013205632727629e-05,1.211174231886479e-09,-3.620129689482499e-05,1.19575033413436e-09,-4.474293351642507e-05,1.35e-09,0.7441026804333493,1.263655492863668e-09,0.7481809860103399,1.211174231886479e-09,0.7504001601651243,1.19575033413436e-09,0.7528038660631949,1.35e-09,0.07269073412505576,1.263655492863668e-09,0.0785975464988679,1.211174231886479e-09,0.07389299877095054,1.19575033413436e-09,0.07772399877087575,1.35e-09,0.02149748093936432,1.263655492863668e-09,0.02316536403080654,1.211174231886479e-09,0.02178573588142858,1.19575033413436e-09,0.02287330572169741
