/v_preamp (iin=2e-05) X,/v_preamp (iin=2e-05) Y,/v_preamp (iin=4e-05) X,/v_preamp (iin=4e-05) Y,/v_preamp (iin=6e-05) X,/v_preamp (iin=6e-05) Y,/v_preamp (iin=8e-05) X,/v_preamp (iin=8e-05) Y,/CFD_shaped (iin=2e-05) X,/CFD_shaped (iin=2e-05) Y,/CFD_shaped (iin=4e-05) X,/CFD_shaped (iin=4e-05) Y,/CFD_shaped (iin=6e-05) X,/CFD_shaped (iin=6e-05) Y,/CFD_shaped (iin=8e-05) X,/CFD_shaped (iin=8e-05) Y,/vin (iin=2e-05) X,/vin (iin=2e-05) Y,/vin (iin=4e-05) X,/vin (iin=4e-05) Y,/vin (iin=6e-05) X,/vin (iin=6e-05) Y,/vin (iin=8e-05) X,/vin (iin=8e-05) Y,/I7/MINUS (iin=2e-05) X,/I7/MINUS (iin=2e-05) Y,/I7/MINUS (iin=4e-05) X,/I7/MINUS (iin=4e-05) Y,/I7/MINUS (iin=6e-05) X,/I7/MINUS (iin=6e-05) Y,/I7/MINUS (iin=8e-05) X,/I7/MINUS (iin=8e-05) Y
1.374957873860195e-09,0.07380899160687565,1.357000000000001e-09,0.1084810949665165,1.351e-09,0.1412839508959515,1.35e-09,0.1698733535310958,1.374957873860195e-09,0.02035657726116384,1.357000000000001e-09,0.02970196722218779,1.351e-09,0.03855847671380053,1.35e-09,0.04628947839813435,1.374957873860195e-09,0.7393962174842175,1.357000000000001e-09,0.7431401747620424,1.351e-09,0.7465995831460829,1.35e-09,0.7507185435509792,1.374957873860195e-09,-1.958334132417053e-05,1.357000000000001e-09,-3.979130434782606e-05,1.351e-09,-6e-05,1.35e-09,-8.000000000000001e-05
1.397373503836783e-09,0.07650908833572577,1.363381027320371e-09,0.1101549963354163,1.353e-09,0.1419113853102626,1.351e-09,0.1701800943142672,1.397373503836783e-09,0.02109144604425141,1.363381027320371e-09,0.0301587115303972,1.353e-09,0.03872990159027025,1.351e-09,0.04637289164491583,1.397373503836783e-09,0.7389189556038516,1.363381027320371e-09,0.7429550179680231,1.353e-09,0.7465445990312536,1.351e-09,0.750702596644694,1.397373503836783e-09,-1.919350428109944e-05,1.363381027320371e-09,-3.956935557146537e-05,1.353e-09,-5.989565217391303e-05,1.351e-09,-8.000000000000001e-05
1.429041935418473e-09,0.07893796833426082,1.374907110060645e-09,0.1128284140815995,1.357000000000001e-09,0.143120367623636,1.353e-09,0.1707632931398963,1.429041935418473e-09,0.02175748702176433,1.374907110060645e-09,0.03088799461044076,1.357000000000001e-09,0.03906054315543306,1.353e-09,0.04653234554919911,1.429041935418473e-09,0.7379925214314771,1.374907110060645e-09,0.7425475668516833,1.357000000000001e-09,0.7464261363074561,1.353e-09,0.7506724371603001,1.429041935418473e-09,-1.864274894924395e-05,1.374907110060645e-09,-3.916844834571669e-05,1.357000000000001e-09,-5.968695652173909e-05,1.353e-09,-7.986086956521737e-05
1.492378798581855e-09,0.07794278908456879,1.397959275541194e-09,0.1167180710073309,1.365000000000002e-09,0.1452678673555219,1.357000000000001e-09,0.1718801434875517,1.492378798581855e-09,0.02151046072530292,1.397959275541194e-09,0.03195446167803517,1.365000000000002e-09,0.03964901904453252,1.357000000000001e-09,0.04683827404251772,1.492378798581855e-09,0.7359714120911369,1.397959275541194e-09,0.7414912083320625,1.365000000000002e-09,0.746144740574417,1.357000000000001e-09,0.7506037535673551,1.492378798581855e-09,-1.754123828553296e-05,1.397959275541194e-09,-3.836663389421933e-05,1.365000000000002e-09,-5.926956521739123e-05,1.357000000000001e-09,-7.958260869565212e-05
1.563080253667522e-09,0.06889431431426447,1.42996055121049e-09,0.1186299104611943,1.381000000000003e-09,0.1485250907477894,1.364866292831072e-09,0.173792641758156,1.563080253667522e-09,0.01854677139725976,1.42996055121049e-09,0.03249403143700177,1.381000000000003e-09,0.04054479770969437,1.364866292831072e-09,0.0473638786659703,1.563080253667522e-09,0.7345851432286258,1.42996055121049e-09,0.739731305944806,1.381000000000003e-09,0.7454403633852827,1.364866292831072e-09,0.7504226778194143,1.563080253667522e-09,-1.631164776230396e-05,1.42996055121049e-09,-3.725354604485253e-05,1.381000000000003e-09,-5.843478260869549e-05,1.364866292831072e-09,-7.903538832479501e-05
1.621121268498095e-09,0.05897479018737651,1.49396310254908e-09,0.1115369323863868,1.413000000000006e-09,0.1511797782029136,1.380598878493214e-09,0.1765905055640493,1.621121268498095e-09,0.0149580294605796,1.49396310254908e-09,0.0306136687374516,1.413000000000006e-09,0.04129030956577833,1.380598878493214e-09,0.04813561770625029,1.621121268498095e-09,0.7347072455609956,1.49396310254908e-09,0.7365413852272369,1.413000000000006e-09,0.7436856507870439,1.380598878493214e-09,0.7499218265360176,1.621121268498095e-09,-1.530223880872878e-05,1.49396310254908e-09,-3.502737034611895e-05,1.413000000000006e-09,-5.676521739130402e-05,1.380598878493214e-09,-7.794094758308078e-05
1.670510097607649e-09,0.05113905589689621,1.544230940270952e-09,0.09870834605144509,1.453810343347508e-09,0.1482774532970843,1.406358401020171e-09,0.178669015917821,1.670510097607649e-09,0.01058412753191826,1.544230940270952e-09,0.02686937574262696,1.453810343347508e-09,0.04053258972703604,1.406358401020171e-09,0.04871745826734196,1.670510097607649e-09,0.7356048705130989,1.544230940270952e-09,0.735220225464267,1.453810343347508e-09,0.741295508267241,1.406358401020171e-09,0.7488149677591733,1.670510097607649e-09,-1.444330265030175e-05,1.544230940270952e-09,-3.327892381666253e-05,1.453810343347508e-09,-5.463598208621696e-05,1.406358401020171e-09,-7.614898079859684e-05
1.717033458015474e-09,0.04628617940707556,1.587320205715024e-09,0.08606951260497479,1.493594990918901e-09,0.1405933921792004,1.442831042799808e-09,0.1775331266598122,1.717033458015474e-09,0.006944388743204384,1.587320205715024e-09,0.02255036667139463,1.493594990918901e-09,0.03847074869472664,1.442831042799808e-09,0.04842967938942979,1.717033458015474e-09,0.7367251712767832,1.587320205715024e-09,0.7353046953584145,1.493594990918901e-09,0.7393324286319715,1.442831042799808e-09,0.7469556410436874,1.717033458015474e-09,-1.363420073016567e-05,1.587320205715024e-09,-3.17801667577383e-05,1.493594990918901e-09,-5.256026134336168e-05,1.442831042799808e-09,-7.36117535443612e-05
1.779894492645868e-09,0.04279168788776995,1.626238770082443e-09,0.07552809076661758,1.53333322562636e-09,0.1300794820732147,1.478708465004671e-09,0.1730732969128283,1.779894492645868e-09,0.0006886713424926871,1.626238770082443e-09,0.01788698618011998,1.53333322562636e-09,0.03537585505910614,1.478708465004671e-09,0.04723541199963684,1.779894492645868e-09,0.7378941460229664,1.626238770082443e-09,0.7362220775998198,1.53333322562636e-09,0.7380907655674634,1.478708465004671e-09,0.7451015078686583,1.779894492645868e-09,-1.254096534528925e-05,1.626238770082443e-09,-3.042647756234982e-05,1.53333322562636e-09,-5.04869621412334e-05,1.478708465004671e-09,-7.111593286924032e-05
1.829108729622321e-09,0.0412806303593404,1.665099434055487e-09,0.06730035052899391,1.573376164398091e-09,0.1184566545484922,1.520440309263498e-09,0.1652010746995923,1.829108729622321e-09,-0.005185137609519238,1.665099434055487e-09,0.01284763897558696,1.573376164398091e-09,0.03157487047661315,1.520440309263498e-09,0.04497714118664009,1.829108729622321e-09,0.7381250187689323,1.665099434055487e-09,0.7375883384068871,1.573376164398091e-09,0.7376821281782301,1.520440309263498e-09,0.7432341259108349,1.829108729622321e-09,-1.168506557178573e-05,1.665099434055487e-09,-2.907480229372219e-05,1.573376164398091e-09,-4.839776533575178e-05,1.520440309263498e-09,-6.82128480512349e-05
