/hit (dt=0) X,/hit (dt=0) Y,/hit (dt=0.004) X,/hit (dt=0.004) Y,/hit (dt=0.008) X,/hit (dt=0.008) Y,/hit (dt=0.012) X,/hit (dt=0.012) Y,/hit (dt=0.016) X,/hit (dt=0.016) Y,/hit (dt=0.02) X,/hit (dt=0.02) Y,/net8 (dt=0) X,/net8 (dt=0) Y,/net8 (dt=0.004) X,/net8 (dt=0.004) Y,/net8 (dt=0.008) X,/net8 (dt=0.008) Y,/net8 (dt=0.012) X,/net8 (dt=0.012) Y,/net8 (dt=0.016) X,/net8 (dt=0.016) Y,/net8 (dt=0.02) X,/net8 (dt=0.02) Y
1.388596142333349e-09,1.071995647587907e-06,1.3884969095046e-09,1.075109381296033e-06,1.388342030531566e-09,1.078239470709672e-06,1.388145707548492e-09,1.081370812983224e-06,1.387926097299185e-09,1.084496463914172e-06,1.387700670143821e-09,1.087620596955423e-06,1.388596142333349e-09,0.2331576854000091,1.3884969095046e-09,0.23709814570276,1.388342030531566e-09,0.2410052183189395,1.388145707548492e-09,0.2448874245290954,1.387926097299185e-09,0.248755658379511,1.387700670143821e-09,0.2526204020862928
1.459483941377788e-09,1.103610598474636e-06,1.457310380198351e-09,1.105694267705445e-06,1.455221386175718e-09,1.108077576749242e-06,1.45322435548606e-09,1.111070505762711e-06,1.451332210469967e-09,1.115213759286183e-06,1.449557221704741e-09,1.12509519646244e-06,1.459483941377788e-09,0.275690364826673,1.457310380198351e-09,0.2783862281190104,1.455221386175718e-09,0.2811328317054305,1.45322435548606e-09,0.2839346132916357,1.451332210469967e-09,0.2867993262819801,1.449557221704741e-09,0.2897343330228443
1.512753964721153e-09,1.181344696674113e-06,1.509997373062826e-09,1.211134473349269e-06,1.507435750204255e-09,1.261394458097155e-06,1.505103152042452e-09,1.327713794730556e-06,1.503059024911243e-09,1.408377377331216e-06,1.501547635146037e-09,1.509132635090804e-06,1.512753964721153e-09,0.3076523788326915,1.509997373062826e-09,0.3099984238376955,1.507435750204255e-09,0.3124614501225527,1.505103152042452e-09,0.3150618912254712,1.503059024911243e-09,0.3178354149467459,1.501547635146037e-09,0.320928581087622
1.527798648718943e-09,1.522746530298223e-06,1.526310454316039e-09,1.745386349791581e-06,1.527149885825432e-09,1.999512324646428e-06,1.527553042218759e-09,2.218154472349276e-06,1.521183613681446e-09,2.360581888093448e-06,1.515475975923661e-09,2.376800504024388e-06,1.527798648718943e-09,0.3166791892313659,1.526310454316039e-09,0.3197862725896236,1.527149885825432e-09,0.324289931495259,1.527553042218759e-09,0.3285318253312551,1.521183613681446e-09,0.3287101682088676,1.515475975923661e-09,0.3292855855541968
1.557888016714525e-09,2.304575263899896e-06,1.534466994942646e-09,2.148479069068198e-06,1.563784699328867e-09,2.179855715290216e-06,1.561770901013451e-09,2.010755405922021e-06,1.554539774598778e-09,1.789786818234891e-06,1.543332657478911e-09,1.892759415487755e-06,1.557888016714525e-09,0.3347328100287148,1.534466994942646e-09,0.3246801969655876,1.563784699328867e-09,0.34627081959732,1.561770901013451e-09,0.3490625406080705,1.554539774598778e-09,0.3487238647592666,1.543332657478911e-09,0.3459995944873467
1.58329038325404e-09,1.935254851305267e-06,1.550780076195859e-09,2.160010512535722e-06,1.5909091794936e-09,1.011671129544032e-06,1.590359711474705e-09,6.22653997981257e-07,1.583408126378655e-09,8.731296323912086e-07,1.571740203296608e-09,8.555223459164725e-07,1.58329038325404e-09,0.3499742299524242,1.550780076195859e-09,0.3344680457175156,1.5909091794936e-09,0.3625455076961602,1.590359711474705e-09,0.3662158268848232,1.583408126378655e-09,0.3660448758271926,1.571740203296608e-09,0.3630441219779648
1.620669021639819e-09,7.039259634038469e-07,1.576462840565068e-09,1.892705694105189e-06,1.604471419575967e-09,5.54426504506342e-07,1.635450325132778e-09,1.251020235874772e-06,1.625336136565638e-09,9.278472434348262e-07,1.61060216964853e-09,1.102868112293332e-06,1.620669021639819e-09,0.3724014129838915,1.576462840565068e-09,0.3498777043390406,1.604471419575967e-09,0.3706828517455802,1.635450325132778e-09,0.3932701950796667,1.625336136565638e-09,0.3912016819393827,1.61060216964853e-09,0.386361301789118
1.663423822039608e-09,1.219308609664449e-06,1.608814807906052e-09,6.983498845915965e-07,1.6315958997407e-09,1.221661321157308e-06,1.668919355187049e-09,1.537478513596879e-06,1.658766501831423e-09,1.732414780889091e-06,1.644419097731678e-09,1.098865000492065e-06,1.663423822039608e-09,0.3980542932237649,1.608814807906052e-09,0.3692888847436313,1.6315958997407e-09,0.3869575398444202,1.668919355187049e-09,0.4133516131122292,1.658766501831423e-09,0.411259901098854,1.644419097731678e-09,0.4066514586390065
1.697322951791627e-09,1.706292680938492e-06,1.643537021222294e-09,1.050570680675973e-06,1.662973774378689e-09,1.335911450121993e-06,1.711467561747585e-09,2.414087934069867e-06,1.700490765054274e-09,2.24107408364224e-06,1.683365402036798e-09,2.635590987920782e-06,1.697322951791627e-09,0.4183937710749762,1.643537021222294e-09,0.3901222127333764,1.662973774378689e-09,0.4057842646272131,1.711467561747585e-09,0.4388805370485512,1.700490765054274e-09,0.4362944590325642,1.683365402036798e-09,0.4300192412220786
1.73897701987439e-09,2.21969820053392e-06,1.676710341913241e-09,1.44054217901183e-06,1.710256399723383e-09,2.227713097226535e-06,1.760670275755214e-09,1.344798275724084e-06,1.748336154845882e-09,1.52582323518067e-06,1.730539977257092e-09,1.49862863676676e-06,1.73897701987439e-09,0.4433862119246342,1.676710341913241e-09,0.4100262051479445,1.710256399723383e-09,0.4341538398340297,1.760670275755214e-09,0.4684021654531282,1.748336154845882e-09,0.4650016929075291,1.730539977257092e-09,0.4583239863542554
