/I7/MINUS (iin=2e-05) X,/I7/MINUS (iin=2e-05) Y,/I7/MINUS (iin=4e-05) X,/I7/MINUS (iin=4e-05) Y,/I7/MINUS (iin=6e-05) X,/I7/MINUS (iin=6e-05) Y,/I7/MINUS (iin=8e-05) X,/I7/MINUS (iin=8e-05) Y,/vin (iin=2e-05) X,/vin (iin=2e-05) Y,/vin (iin=4e-05) X,/vin (iin=4e-05) Y,/vin (iin=6e-05) X,/vin (iin=6e-05) Y,/vin (iin=8e-05) X,/vin (iin=8e-05) Y,/v_preamp (iin=2e-05) X,/v_preamp (iin=2e-05) Y,/v_preamp (iin=4e-05) X,/v_preamp (iin=4e-05) Y,/v_preamp (iin=6e-05) X,/v_preamp (iin=6e-05) Y,/v_preamp (iin=8e-05) X,/v_preamp (iin=8e-05) Y,/CFD_shaped (iin=2e-05) X,/CFD_shaped (iin=2e-05) Y,/CFD_shaped (iin=4e-05) X,/CFD_shaped (iin=4e-05) Y,/CFD_shaped (iin=6e-05) X,/CFD_shaped (iin=6e-05) Y,/CFD_shaped (iin=8e-05) X,/CFD_shaped (iin=8e-05) Y
0,0,0,0,0,0,0,0,0,0.6344356889422819,0,0.6344356889422819,0,0.6344356889422819,0,0.6344356889422819,0,0.08152975972226646,0,0.08152975972226646,0,0.08152975972226646,0,0.08152975972226646,0,0.02406657907286716,0,0.02406657907286716,0,0.02406657907286716,0,0.02406657907286716
5.000000000000001e-12,0,5.000000000000001e-12,0,5.000000000000001e-12,0,5.000000000000001e-12,0,5.000000000000001e-12,0.6344356889422402,5.000000000000001e-12,0.6344356889422402,5.000000000000001e-12,0.6344356889422402,5.000000000000001e-12,0.6344356889422402,5.000000000000001e-12,0.08152975972171116,5.000000000000001e-12,0.08152975972171116,5.000000000000001e-12,0.08152975972171116,5.000000000000001e-12,0.08152975972171116,5.000000000000001e-12,0.0240665790727018,5.000000000000001e-12,0.0240665790727018,5.000000000000001e-12,0.0240665790727018,5.000000000000001e-12,0.0240665790727018
1.5e-11,0,1.5e-11,0,1.5e-11,0,1.5e-11,0,1.5e-11,0.6344356889421988,1.5e-11,0.6344356889421988,1.5e-11,0.6344356889421988,1.5e-11,0.6344356889421988,1.5e-11,0.0815297597207293,1.5e-11,0.0815297597207293,1.5e-11,0.0815297597207293,1.5e-11,0.0815297597207293,1.5e-11,0.02406657907242731,1.5e-11,0.02406657907242731,1.5e-11,0.02406657907242731,1.5e-11,0.02406657907242731
3.5e-11,0,3.5e-11,0,3.5e-11,0,3.5e-11,0,3.5e-11,0.6344356889418413,3.5e-11,0.6344356889418413,3.5e-11,0.6344356889418413,3.5e-11,0.6344356889418413,3.5e-11,0.0815297597199128,3.5e-11,0.0815297597199128,3.5e-11,0.0815297597199128,3.5e-11,0.0815297597199128,3.5e-11,0.02406657907219546,3.5e-11,0.02406657907219546,3.5e-11,0.02406657907219546,3.5e-11,0.02406657907219546
7.499999999999999e-11,0,7.499999999999999e-11,0,7.499999999999999e-11,0,7.499999999999999e-11,0,7.499999999999999e-11,0.6344356889417007,7.499999999999999e-11,0.6344356889417007,7.499999999999999e-11,0.6344356889417007,7.499999999999999e-11,0.6344356889417007,7.499999999999999e-11,0.0815297597189777,7.499999999999999e-11,0.0815297597189777,7.499999999999999e-11,0.0815297597189777,7.499999999999999e-11,0.0815297597189777,7.499999999999999e-11,0.02406657907189267,7.499999999999999e-11,0.02406657907189267,7.499999999999999e-11,0.02406657907189267,7.499999999999999e-11,0.02406657907189267
1.55e-10,0,1.55e-10,0,1.55e-10,0,1.55e-10,0,1.55e-10,0.6344356889425177,1.55e-10,0.6344356889425177,1.55e-10,0.6344356889425177,1.55e-10,0.6344356889425177,1.55e-10,0.08152975971645292,1.55e-10,0.08152975971645292,1.55e-10,0.08152975971645292,1.55e-10,0.08152975971645292,1.55e-10,0.02406657907119209,1.55e-10,0.02406657907119209,1.55e-10,0.02406657907119209,1.55e-10,0.02406657907119209
2.55e-10,0,2.55e-10,0,2.55e-10,0,2.55e-10,0,2.55e-10,0.6344356889418419,2.55e-10,0.6344356889418419,2.55e-10,0.6344356889418419,2.55e-10,0.6344356889418419,2.55e-10,0.08152975971327396,2.55e-10,0.08152975971327396,2.55e-10,0.08152975971327396,2.55e-10,0.08152975971327396,2.55e-10,0.02406657907025526,2.55e-10,0.02406657907025526,2.55e-10,0.02406657907025526,2.55e-10,0.02406657907025526
3.55e-10,0,3.55e-10,0,3.55e-10,0,3.55e-10,0,3.55e-10,0.6344356889408804,3.55e-10,0.6344356889408804,3.55e-10,0.6344356889408804,3.55e-10,0.6344356889408804,3.55e-10,0.08152975970877556,3.55e-10,0.08152975970877556,3.55e-10,0.08152975970877556,3.55e-10,0.08152975970877556,3.55e-10,0.02406657906896733,3.55e-10,0.02406657906896733,3.55e-10,0.02406657906896733,3.55e-10,0.02406657906896733
4.275e-10,0,4.275e-10,0,4.275e-10,0,4.275e-10,0,4.275e-10,0.6344356889403477,4.275e-10,0.6344356889403477,4.275e-10,0.6344356889403477,4.275e-10,0.6344356889403477,4.275e-10,0.08152975971073853,4.275e-10,0.08152975971073853,4.275e-10,0.08152975971073853,4.275e-10,0.08152975971073853,4.275e-10,0.02406657906951181,4.275e-10,0.02406657906951181,4.275e-10,0.02406657906951181,4.275e-10,0.02406657906951181
5e-10,0,5e-10,0,5e-10,0,5e-10,0,5e-10,0.6344356889401148,5e-10,0.6344356889401148,5e-10,0.6344356889401148,5e-10,0.6344356889401148,5e-10,0.0815297597077049,5e-10,0.0815297597077049,5e-10,0.0815297597077049,5e-10,0.0815297597077049,5e-10,0.02406657906866861,5e-10,0.02406657906866861,5e-10,0.02406657906866861,5e-10,0.02406657906866861
6e-10,0,6e-10,0,6e-10,0,6e-10,0,6e-10,0.6344356889400891,6e-10,0.6344356889400891,6e-10,0.6344356889400891,6e-10,0.6344356889400891,6e-10,0.08152975970984259,6e-10,0.08152975970984259,6e-10,0.08152975970984259,6e-10,0.08152975970984259,6e-10,0.02406657907405433,6e-10,0.02406657907405433,6e-10,0.02406657907405433,6e-10,0.02406657907405433
7e-10,0,7e-10,0,7e-10,0,7e-10,0,7e-10,0.6344356889408354,7e-10,0.6344356889408354,7e-10,0.6344356889408354,7e-10,0.6344356889408354,7e-10,0.08152975971480217,7e-10,0.08152975971480217,7e-10,0.08152975971480217,7e-10,0.08152975971480217,7e-10,0.02406657908585843,7e-10,0.02406657908585843,7e-10,0.02406657908585843,7e-10,0.02406657908585843
7.999999999999999e-10,0,7.999999999999999e-10,0,7.999999999999999e-10,0,7.999999999999999e-10,0,7.999999999999999e-10,0.634435688940867,7.999999999999999e-10,0.634435688940867,7.999999999999999e-10,0.634435688940867,7.999999999999999e-10,0.634435688940867,7.999999999999999e-10,0.08152975972923192,7.999999999999999e-10,0.08152975972923192,7.999999999999999e-10,0.08152975972923192,7.999999999999999e-10,0.08152975972923192,7.999999999999999e-10,0.0240665791042849,7.999999999999999e-10,0.0240665791042849,7.999999999999999e-10,0.0240665791042849,7.999999999999999e-10,0.0240665791042849
8.999999999999999e-10,0,8.999999999999999e-10,0,8.999999999999999e-10,0,8.999999999999999e-10,0,8.999999999999999e-10,0.6344356889411641,8.999999999999999e-10,0.6344356889411641,8.999999999999999e-10,0.6344356889411641,8.999999999999999e-10,0.6344356889411641,8.999999999999999e-10,0.08152975973591951,8.999999999999999e-10,0.08152975973591951,8.999999999999999e-10,0.08152975973591951,8.999999999999999e-10,0.08152975973591951,8.999999999999999e-10,0.02406657911946727,8.999999999999999e-10,0.02406657911946727,8.999999999999999e-10,0.02406657911946727,8.999999999999999e-10,0.02406657911946727
9.999999999999999e-10,0,9.999999999999999e-10,0,9.999999999999999e-10,0,9.999999999999999e-10,0,9.999999999999999e-10,0.6344356889395351,9.999999999999999e-10,0.6344356889395351,9.999999999999999e-10,0.6344356889395351,9.999999999999999e-10,0.6344356889395351,9.999999999999999e-10,0.08152975974816624,9.999999999999999e-10,0.08152975974816624,9.999999999999999e-10,0.08152975974816624,9.999999999999999e-10,0.08152975974816624,9.999999999999999e-10,0.02406657914005467,9.999999999999999e-10,0.02406657914005467,9.999999999999999e-10,0.02406657914005467,9.999999999999999e-10,0.02406657914005467
1.1e-09,-5.714285714285707e-06,1.054162426162711e-09,-6.189991561452642e-06,1.04412075254989e-09,-7.563557579981071e-06,1.038121247471116e-09,-8.713427993397939e-06,1.1e-09,0.6365374353712614,1.054162426162711e-09,0.6358255407226993,1.04412075254989e-09,0.6358583787914243,1.038121247471116e-09,0.6358760813243629,1.1e-09,0.083209395796778,1.054162426162711e-09,0.08256940289694246,1.04412075254989e-09,0.08256265138269406,1.038121247471116e-09,0.08255062398713153,1.1e-09,0.0245496661729599,1.054162426162711e-09,0.02436386124587082,1.04412075254989e-09,0.02436111669738745,1.038121247471116e-09,0.02435702194524107
1.2e-09,-1.142857142857143e-05,1.139934887454779e-09,-1.599255856626045e-05,1.120152164531114e-09,-2.059751391961951e-05,1.108136529646345e-09,-2.471692106202181e-05,1.2e-09,0.6395393517194994,1.139934887454779e-09,0.6395538296416335,1.120152164531114e-09,0.6401877852954938,1.108136529646345e-09,0.6407007711792782,1.2e-09,0.08567723713562267,1.139934887454779e-09,0.08553271037911604,1.120152164531114e-09,0.08595352901862258,1.108136529646345e-09,0.08628512375860387,1.2e-09,0.0252611751531949,1.139934887454779e-09,0.02521567062141395,1.120152164531114e-09,0.02533430768357817,1.108136529646345e-09,0.02542749964387006
1.275e-09,-1.571428571428572e-05,1.239934887454779e-09,-2.742112999483189e-05,1.220152164531114e-09,-3.774037106247667e-05,1.208136529646346e-09,-4.757406391916468e-05,1.275e-09,0.642832621340831,1.239934887454779e-09,0.6471660607033595,1.220152164531114e-09,0.6507121424424757,1.208136529646346e-09,0.6539606519425633,1.275e-09,0.08853587128667299,1.239934887454779e-09,0.09214698738410577,1.220152164531114e-09,0.0951278690365113,1.208136529646346e-09,0.09789903610815916,1.275e-09,0.02608693682288738,1.239934887454779e-09,0.02712462432941987,1.220152164531114e-09,0.02798048361852368,1.208136529646346e-09,0.02877572200645202
1.35e-09,-2e-05,1.294967443727389e-09,-3.371056499741594e-05,1.285076082265557e-09,-4.887018553123832e-05,1.279068264823173e-09,-6.378703195958235e-05,1.35e-09,0.6467650197839536,1.294967443727389e-09,0.6524951061197284,1.285076082265557e-09,0.659760238281156,1.279068264823173e-09,0.6667625477179541,1.35e-09,0.0920861171597763,1.294967443727389e-09,0.09704616554253988,1.285076082265557e-09,0.1036828273161075,1.279068264823173e-09,0.1103243187167897,1.35e-09,0.02711387606793846,1.294967443727389e-09,0.02854103340218163,1.285076082265557e-09,0.03045269436346382,1.279068264823173e-09,0.03236522456422015
1.351e-09,-2e-05,1.35e-09,-4e-05,1.35e-09,-6e-05,1.35e-09,-8.000000000000001e-05,1.351e-09,0.6468214114737371,1.35e-09,0.65839151792683,1.35e-09,0.6699620022650942,1.35e-09,0.6813328372557098,1.351e-09,0.09213549204011141,1.35e-09,0.1027021466414292,1.35e-09,0.1140193481534978,1.35e-09,0.125900031642264,1.351e-09,0.0271282881367554,1.35e-09,0.03017671248483231,1.35e-09,0.03344153351402282,1.35e-09,0.03686808694139335
1.353e-09,-1.996521739130434e-05,1.351e-09,-4e-05,1.351e-09,-6e-05,1.351e-09,-8.000000000000001e-05,1.353e-09,0.6469319132041944,1.351e-09,0.6585025910124997,1.351e-09,0.6701254602896989,1.351e-09,0.6815466166732019,1.353e-09,0.09223651536434326,1.351e-09,0.1028137715839631,1.351e-09,0.1141944511202013,1.351e-09,0.1261447334272762,1.353e-09,0.02715753657191079,1.351e-09,0.03020888503519407,1.351e-09,0.03349202056569334,1.351e-09,0.03693863885494874
1.357000000000001e-09,-1.989565217391303e-05,1.353e-09,-3.993043478260868e-05,1.353e-09,-5.989565217391303e-05,1.353e-09,-7.986086956521737e-05,1.357000000000001e-09,0.6471508367818449,1.353e-09,0.6587229743093722,1.353e-09,0.6704498314353928,1.353e-09,0.6819705133627355,1.357000000000001e-09,0.09244022507118682,1.353e-09,0.1030360787911687,1.353e-09,0.1145442434325744,1.353e-09,0.1266340246688745,1.357000000000001e-09,0.02721645972321302,1.353e-09,0.03027317985854664,1.353e-09,0.03359314847300471,1.353e-09,0.03708006700338134
1.365000000000002e-09,-1.975652173913041e-05,1.357000000000001e-09,-3.979130434782606e-05,1.357000000000001e-09,-5.968695652173909e-05,1.357000000000001e-09,-7.958260869565212e-05,1.365000000000002e-09,0.6475762371638927,1.357000000000001e-09,0.6591586380915316,1.357000000000001e-09,0.6710909447755039,1.357000000000001e-09,0.6828078956191005,1.365000000000002e-09,0.09284733060254644,1.357000000000001e-09,0.1034791301683234,1.357000000000001e-09,0.1152395244472234,1.357000000000001e-09,0.1276079423714399,1.365000000000002e-09,0.02733441737749885,1.357000000000001e-09,0.03040149034097233,1.357000000000001e-09,0.03379456097159826,1.357000000000001e-09,0.03736208433402002
1.381000000000003e-09,-1.947826086956517e-05,1.365000000000002e-09,-3.951304347826082e-05,1.365000000000002e-09,-5.926956521739123e-05,1.365000000000002e-09,-7.902608695652164e-05,1.381000000000003e-09,0.6483754040089327,1.365000000000002e-09,0.6600019126872356,1.365000000000002e-09,0.6723286546262494,1.365000000000002e-09,0.6844215900894145,1.381000000000003e-09,0.09362313876956087,1.365000000000002e-09,0.1043463893661318,1.365000000000002e-09,0.1166100639601475,1.365000000000002e-09,0.1295306568761004,1.381000000000003e-09,0.02755994227556329,1.365000000000002e-09,0.03065332872735064,1.365000000000002e-09,0.03419220845228991,1.365000000000002e-09,0.03791980914990265
1.413000000000006e-09,-1.892173913043467e-05,1.381000000000003e-09,-3.895652173913033e-05,1.381000000000003e-09,-5.843478260869549e-05,1.381000000000003e-09,-7.791304347826066e-05,1.413000000000006e-09,0.6497827794001851,1.381000000000003e-09,0.6615816891913545,1.381000000000003e-09,0.6746394984548304,1.381000000000003e-09,0.6874224685892436,1.413000000000006e-09,0.09502253160985122,1.381000000000003e-09,0.1060125404572873,1.381000000000003e-09,0.1192544785098315,1.381000000000003e-09,0.133244749446526,1.413000000000006e-09,0.02796670431507104,1.381000000000003e-09,0.03113716634354887,1.381000000000003e-09,0.03496000186342884,1.381000000000003e-09,0.03899808735239479
1.477000000000013e-09,-1.780869565217369e-05,1.413000000000006e-09,-3.784347826086935e-05,1.413000000000006e-09,-5.676521739130402e-05,1.413000000000006e-09,-7.568695652173869e-05,1.477000000000013e-09,0.6519248455186762,1.413000000000006e-09,0.6643410234058954,1.413000000000006e-09,0.6786387373602651,1.413000000000006e-09,0.6925696446358597,1.477000000000013e-09,0.09722324189265985,1.413000000000006e-09,0.1090241054242605,1.413000000000006e-09,0.1240406668289268,1.413000000000006e-09,0.139993349179042,1.477000000000013e-09,0.02860728667189822,1.413000000000006e-09,0.032012801055155,1.413000000000006e-09,0.03635157824706026,1.413000000000006e-09,0.04095991511898138
