/hit (dt=0) X,/hit (dt=0) Y,/hit (dt=0.004) X,/hit (dt=0.004) Y,/hit (dt=0.008) X,/hit (dt=0.008) Y,/hit (dt=0.012) X,/hit (dt=0.012) Y,/hit (dt=0.016) X,/hit (dt=0.016) Y,/hit (dt=0.02) X,/hit (dt=0.02) Y,/net8 (dt=0) X,/net8 (dt=0) Y,/net8 (dt=0.004) X,/net8 (dt=0.004) Y,/net8 (dt=0.008) X,/net8 (dt=0.008) Y,/net8 (dt=0.012) X,/net8 (dt=0.012) Y,/net8 (dt=0.016) X,/net8 (dt=0.016) Y,/net8 (dt=0.02) X,/net8 (dt=0.02) Y
1.532997202245833e-09,1.047047884322832e-06,1.532511020145884e-09,1.048216983667332e-06,1.531919891297337e-09,1.049408176503403e-06,1.531244861221364e-09,1.050614502043913e-06,1.530511835167792e-09,1.051830786203864e-06,1.50934256185937e-09,1.050567622738558e-06,1.532997202245833e-09,0.2131988808983333,1.532511020145884e-09,0.2170044080583535,1.531919891297337e-09,0.2207679565189346,1.531244861221364e-09,0.2244979444885455,1.530511835167792e-09,0.2282047340671167,1.50934256185937e-09,0.223737024743748
1.640643140728186e-09,1.057353138238525e-06,1.636779582562336e-09,1.058143554371815e-06,1.633022743846445e-09,1.058999063479584e-06,1.62938272871521e-09,1.060012003131664e-06,1.62587684630093e-09,1.06134339284785e-06,1.608434974203841e-09,1.060337718697493e-06,1.640643140728186e-09,0.2562572562912745,1.636779582562336e-09,0.2587118330249344,1.633022743846445e-09,0.261209097538578,1.62938272871521e-09,0.2637530914860838,1.62587684630093e-09,0.2663507385203718,1.608434974203841e-09,0.2633739896815366
1.719731337912678e-09,1.090622948729883e-06,1.714730011217595e-09,1.103748891637692e-06,1.709970269665855e-09,1.121813675802047e-06,1.705486862463873e-09,1.143130246274787e-06,1.701338743865871e-09,1.174479155032466e-06,1.685044876215858e-09,1.156443517270725e-06,1.719731337912678e-09,0.2878925351650711,1.714730011217595e-09,0.2898920044870378,1.709970269665855e-09,0.2919881078663421,1.705486862463873e-09,0.2941947449855492,1.701338743865871e-09,0.2965354975463484,1.685044876215858e-09,0.2940179504863433
1.770377042646008e-09,1.419209056425924e-06,1.736502420949379e-09,1.33091241105087e-06,1.733801333572998e-09,1.409380510496595e-06,1.734271681139818e-09,1.549202091166617e-06,1.732949693803469e-09,1.6052281939319e-06,1.718039155761379e-09,1.567252472872893e-06,1.770377042646008e-09,0.3081508170584034,1.736502420949379e-09,0.2986009683797517,1.733801333572998e-09,0.3015205334291992,1.734271681139818e-09,0.3057086724559271,1.732949693803469e-09,0.3091798775213875,1.718039155761379e-09,0.3072156623045517
1.785221471526741e-09,1.749223289674693e-06,1.747388625815272e-09,1.52355523039802e-06,1.745716865526569e-09,1.64268004197532e-06,1.786636124183351e-09,1.246130251302669e-06,1.78217151102285e-09,1.128506013582633e-06,1.76936196134112e-09,1.158087210464919e-06,1.785221471526741e-09,0.3140885886106963,1.747388625815272e-09,0.3029554503261087,1.745716865526569e-09,0.3062867462106277,1.786636124183351e-09,0.3266544496733403,1.78217151102285e-09,0.3288686044091401,1.76936196134112e-09,0.3277447845364481
1.814910329288206e-09,1.081151342441382e-06,1.769161035547057e-09,1.418208169526837e-06,1.769547929433712e-09,1.293520225280594e-06,1.825448648012586e-09,7.094703438207889e-07,1.823007342212168e-09,5.950817608743405e-07,1.810204778910823e-09,6.284318849371959e-07,1.814910329288206e-09,0.3259641317152822,1.769161035547057e-09,0.3116644142188226,1.769547929433712e-09,0.3158191717734847,1.825448648012586e-09,0.3421794592050345,1.823007342212168e-09,0.3452029368848671,1.810204778910823e-09,0.3440819115643293
1.854871297510316e-09,9.017628342170624e-07,1.802735658581896e-09,1.344244850555301e-06,1.806573964718277e-09,1.200276689701371e-06,1.841936620601209e-09,6.246595056892687e-07,1.878651378643467e-09,1.069256523051365e-06,1.8706823844509e-09,9.984354062530239e-07,1.854871297510316e-09,0.3419485190041263,1.802735658581896e-09,0.3250942634327583,1.806573964718277e-09,0.3306295858873107,1.841936620601209e-09,0.3487746482404837,1.878651378643467e-09,0.367460551457387,1.8706823844509e-09,0.3682729537803601
1.899226419345983e-09,7.170751140004771e-07,1.861240614670385e-09,6.133747049002096e-07,1.850880179111029e-09,5.520163973125097e-07,1.874912565778455e-09,1.00677800439137e-06,1.925504051527447e-09,7.582515654482041e-07,1.917769998544697e-09,9.50758724301033e-07,1.899226419345983e-09,0.3596905677383934,1.861240614670385e-09,0.348496245868154,1.850880179111029e-09,0.3483520716444116,1.874912565778455e-09,0.361965026311382,1.925504051527447e-09,0.3862016206109787,1.917769998544697e-09,0.3871079994178789
1.943686373911795e-09,8.890217077729648e-07,1.908697225458512e-09,8.184759736464644e-07,1.896101572919267e-09,1.008951043100564e-06,1.920068288469903e-09,8.354298493454516e-07,1.962752025763723e-09,1.538379073690138e-06,1.958884999272349e-09,1.239533484655778e-06,1.943686373911795e-09,0.377474549564718,1.908697225458512e-09,0.3674788901834048,1.896101572919267e-09,0.3664406291677068,1.920068288469903e-09,0.3800273153879613,1.962752025763723e-09,0.4011008103054893,1.958884999272349e-09,0.4035539997089395
1.971843186955898e-09,1.249962931174741e-06,1.956161996625476e-09,1.083051756781404e-06,1.942840186259199e-09,8.703994033927686e-07,1.960034144234951e-09,1.204715175654883e-06,2e-09,7.368115486262884e-07,2e-09,1.144143620059547e-06,1.971843186955898e-09,0.388737274782359,1.956161996625476e-09,0.3864647986501902,1.942840186259199e-09,0.3851360745036796,1.960034144234951e-09,0.3960136576939806,2e-09,0.416,2e-09,0.42
