/out6 (G=1) X,/out6 (G=1) Y,/out6 (G=3) X,/out6 (G=3) Y,/out6 (G=5) X,/out6 (G=5) Y,/out6 (G=7) X,/out6 (G=7) Y,/out6 (G=9) X,/out6 (G=9) Y
0,0.0004606369574378108,0,0.0004606369574378108,0,0.0004606369574378108,0,0.0004606369574378108,0,0.0004606369574378108
5e-11,0.0004673906814043464,5e-11,0.0004808981293374178,5e-11,0.0004944055772704893,5e-11,0.0005079130252035606,5e-11,0.0005214204731366321
1.5e-10,0.0004808981293449214,1.5e-10,0.0005214204731985929,1.5e-10,0.0005619428170924857,1.5e-10,0.0006024651610117448,1.5e-10,0.0006429875049415152
3.5e-10,0.0005079130252421665,3.5e-10,0.0006024651610117448,3.5e-10,0.0006970172968385511,3.5e-10,0.0007915694325338715,3.476688263063032e-10,0.0008832876292639853
5e-10,0.0005281741971785164,5e-10,0.0006632486769056999,5e-10,0.0007983231565020912,5e-10,0.0009333976354175044,5e-10,0.001068472113101754
8.000000000000001e-10,0.0004867674120379719,8.000000000000001e-10,0.0005388137322668185,8.000000000000001e-10,0.0005905741155309938,8.000000000000001e-10,0.0006420484804526105,8.046623473873937e-10,0.0006863368596578999
1.4e-09,0.0003969222342042311,1.4e-09,0.00026776851983677,1.4e-09,0.0001333163624500336,1.355664234514225e-09,3.943257896694974e-05,1.319355380935609e-09,-4.101475819535743e-05
1.75e-09,0.0003501088287333737,1.75e-09,0.0001238778300625434,1.75e-09,-0.0001097673975883771,1.996930545709297e-09,-0.0005771114539443107,1.905575897238306e-09,-0.0007915078743981454
1.925e-09,0.0003272259457096672,1.925e-09,5.340523434042916e-05,1.925e-09,-0.0002289897998961711,2.033307729522345e-09,-9.420765590405743e-06,2.002787948619153e-09,-0.0008375117945982942
2.0125e-09,0.0003494361491853785,2.0125e-09,0.0001188276190010976,2.0125e-09,-0.0001212422770283535,2.106062097148442e-09,0.001350880035406643,2.038231853415073e-09,-5.909160101255629e-05
2.057401315789474e-09,0.0004596067032706068,2.057401315789474e-09,0.0004487192425182206,2.057401315789474e-09,0.0004279151234636547,2.154790141159043e-09,0.003106640726775513,2.086294053075947e-09,0.000996450827664598
2.128700657894737e-09,0.0007120823777049339,2.128700657894737e-09,0.001205161400497247,2.128700657894737e-09,0.001687599852542661,2.177395070579522e-09,0.003921134999252216,2.125000677593088e-09,0.002454372613109074
2.2e-09,0.001079637930327328,2.2e-09,0.002306842498275246,2.2e-09,0.003522680421303376,2.2e-09,0.004735629384194346,2.162500338796544e-09,0.004189673186959391
2.20325e-09,0.001184190418558151,2.20325e-09,0.00262045464990959,2.20325e-09,0.004045317923884578,2.20325e-09,0.005467315559971309,2.181250169398272e-09,0.005057320978829692
2.20975e-09,0.001393295382850213,2.20975e-09,0.003247678601163703,2.20975e-09,0.005090591276216869,2.20975e-09,0.006930683888976887,2.2e-09,0.005924966711349769
2.22275e-09,0.001811505272377654,2.22275e-09,0.004502125369731781,2.22275e-09,0.007181132655105583,2.22275e-09,0.009857404941653027,2.20325e-09,0.006865534282351183
2.24757537991807e-09,0.002610137313229228,2.239720676338011e-09,0.006139722839398972,2.236868645966545e-09,0.009451552907935964,2.23518539648257e-09,0.0126569900130561,2.20975e-09,0.008746659563378214
2.283423101909489e-09,0.003763732484787682,2.26257607633343e-09,0.008345601860539193,2.255303134816089e-09,0.0124162328791027,2.250915557462371e-09,0.01619828377559712,2.221215122139049e-09,0.01206468312783083
2.298537283984836e-09,0.00425012454173961,2.30670164015829e-09,0.01282226859691107,2.289560282993159e-09,0.0179266174094369,2.27945274941514e-09,0.02262263900187262,2.232408755189788e-09,0.01530409547575441
2.307532854777073e-09,0.004621011950564708,2.318167405914038e-09,0.01430072949483219,2.302755142485472e-09,0.02019787306550493,2.300430321964175e-09,0.02737754651764087,2.245503073982402e-09,0.01909349889885486
2.318020563269597e-09,0.005071847823726835,2.333650118801914e-09,0.0162971457645023,2.315923469953392e-09,0.02302741559599687,2.308837375248248e-09,0.02990589855698134,2.269348625731089e-09,0.02599401880905243
2.338995980254644e-09,0.005973518860218705,2.364615544577666e-09,0.02028992860926972,2.32849089054417e-09,0.0257277944437009,2.318501888686635e-09,0.0328123572561806,2.302965623905082e-09,0.03601000501612572
2.373876307003587e-09,0.007472918218084473,2.39682227089195e-09,0.02444268536046371,2.352610153368212e-09,0.03091019686780941,2.337830915563409e-09,0.038625060921569,2.312635615563881e-09,0.03974824424709607
2.391316470378059e-09,0.008222616518316945,2.401540373846572e-09,0.02490123739876552,2.376351242196643e-09,0.03601114405917689,2.352569022777147e-09,0.04305694563770839,2.325932269967607e-09,0.04488824152593805
2.400036552065294e-09,0.008596280336474941,2.406479262725876e-09,0.02505776444408352,2.396368949842917e-09,0.04031191766367805,2.382045237204623e-09,0.0519200681915534,2.34148728973507e-09,0.05090085899781123
2.402762021973308e-09,0.008625086444677509,2.410410554428407e-09,0.0251823575624651,2.400619208059855e-09,0.04112471201143752,2.39893667287518e-09,0.0569986675835315,2.356384322725902e-09,0.05665870589179616
2.406569176105332e-09,0.008665325076887479,2.418273137833469e-09,0.02543154384612842,2.40399079305942e-09,0.04130269146092906,2.40315953179282e-09,0.05755159957133241,2.386178388707568e-09,0.06817296236901477
2.41418348436938e-09,0.008745802376770227,2.427808220244348e-09,0.02572900160415851,2.407362378058986e-09,0.04148067021835769,2.411605249628098e-09,0.05817505571077783,2.400145654967068e-09,0.073527565902905
2.425975194266259e-09,0.008869898066759897,2.446878385066104e-09,0.02630123583233418,2.414105548058116e-09,0.0418366263778339,2.419056421351919e-09,0.05872510301474519,2.40289408459531e-09,0.07378821547246442
2.449093333371084e-09,0.009101593005704752,2.480599210742435e-09,0.02731308297398586,2.420504682645596e-09,0.04217442167681313,2.427441911024089e-09,0.05934409995074505,2.408390943851794e-09,0.0743066982235545
2.493767213082106e-09,0.009549323768715043,2.506365401701498e-09,0.02798306703462727,2.433302951820554e-09,0.04282638264303849,2.441452078041176e-09,0.06037830731046444,2.415845280892949e-09,0.07500620669999818
2.512956195066963e-09,0.009670261285486838,2.543986315493194e-09,0.02821466428239005,2.454477641437214e-09,0.04388387804823232,2.463439094224407e-09,0.0620012977098204,2.422385315061279e-09,0.07561990863146954
2.551334159036677e-09,0.009731701341096643,2.564831106673071e-09,0.02822679047703456,2.485748430795297e-09,0.04544555976001524,2.497336424932337e-09,0.06449338660351897,2.434425485133568e-09,0.07674971438479548
2.575667079518339e-09,0.009704464997990806,2.6e-09,0.02798783763854013,2.509038464525142e-09,0.04636455251053439,2.515766757731447e-09,0.06480315853790539,2.45263005112848e-09,0.07845791314448894
2.6e-09,0.009655242443031474,2.608125e-09,0.02766926710252733,2.555618531984832e-09,0.04675888527314991,2.537165130459423e-09,0.06499229101261507,2.478207889992074e-09,0.08085787353067543
2.608125e-09,0.0095510092155087,2.624375e-09,0.02703212516129698,2.576016851309138e-09,0.04654191830195487,2.579961875915373e-09,0.0648827735256463,2.514426985507594e-09,0.08324867476085614
2.61894430682722e-09,0.0094122114921467,2.656875000000001e-09,0.02546249304431723,2.588008425654569e-09,0.04639375933564098,2.6e-09,0.06483147337800657,2.560307523853544e-09,0.08352759118118713
2.64058292048166e-09,0.009095994650093269,2.698539265614347e-09,0.02339212856537808,2.6e-09,0.04624560209107296,2.608125e-09,0.06412468615724272,2.580153761926772e-09,0.08337377481523119
