/out6 (G=1) X,/out6 (G=1) Y,/out6 (G=3) X,/out6 (G=3) Y,/out6 (G=5) X,/out6 (G=5) Y,/out6 (G=7) X,/out6 (G=7) Y,/out6 (G=9) X,/out6 (G=9) Y
0,0.0005049628722777231,0,0.0005049628722777231,0,0.0005049628722777231,0,0.0005049628722777231,0,0.0005049628722777231
5e-11,0.0005122002164602005,5e-11,0.0005266748995828114,5e-11,0.0005411495827054222,5e-11,0.000555624265828033,5e-11,0.0005700989489506438
1.5e-10,0.0005266794159048977,1.5e-10,0.000570112486796299,1.5e-10,0.0006135455377728342,1.5e-10,0.0006569785688174434,1.5e-10,0.0007004115799130975
3.5e-10,0.0005556423908798929,3.5e-10,0.0006570013956448235,3.5e-10,0.0007583604026771914,3.5e-10,0.0008597192726464959,3.476688271432577e-10,0.0009580395702400598
5e-10,0.000577367608534418,5e-10,0.000722177054182047,5e-10,0.0008669862215448991,5e-10,0.001011795390131631,5e-10,0.001156604488970815
8.000000000000001e-10,0.0005772348411010678,8.000000000000001e-10,0.0007216700539782238,8.000000000000001e-10,0.0008660425971110584,8.000000000000001e-10,0.00101014588964005,8.046623457134847e-10,0.001152924113986323
1.4e-09,0.0005536438320626498,1.4e-09,0.0006501664920456911,1.4e-09,0.0007440727607712487,1.355664065748716e-09,0.0008469642821222007,1.319355259102219e-09,0.0009529530927200548
1.75e-09,0.0005428642568446036,1.75e-09,0.0006162205758759454,1.75e-09,0.0006855551180169521,1.996930041951526e-09,0.0007025492896215279,1.905575536357042e-09,0.0007689344521673491
1.925e-09,0.000537795917257238,1.925e-09,0.0006001374351530935,1.925e-09,0.0006577550315311166,2.033307592617892e-09,0.001338100034085295,2.002787768178521e-09,0.0008159501134096384
2.0125e-09,0.0005705521261993572,2.0125e-09,0.0006977451028884518,2.0125e-09,0.0008198611009060056,2.106062693950625e-09,0.002850371047228143,2.038231588335007e-09,0.001684920820982079
2.057401315789474e-09,0.0006932134603597388,2.057401315789474e-09,0.001065383507171614,2.057401315789474e-09,0.001432282324058003,2.154793306484106e-09,0.004768496621685572,2.086293639016079e-09,0.002863968665721544
2.128700657894737e-09,0.0009710973968417794,2.128700657894737e-09,0.001898489683472122,2.128700657894737e-09,0.002820313926990153,2.177396653242053e-09,0.005658753920127424,2.125000489380891e-09,0.004463619193008681
2.2e-09,0.001372371553183139,2.2e-09,0.00310173648182123,2.2e-09,0.004825197908337852,2.2e-09,0.00654764775128349,2.162500244690446e-09,0.006362593886548921
2.20325e-09,0.001484115292601167,2.20325e-09,0.00343693098252204,2.20325e-09,0.005383810320341402,2.20325e-09,0.007329918396926668,2.181250122345223e-09,0.007307969534767558
2.20975e-09,0.001709973281326624,2.20975e-09,0.004114400706134385,2.20975e-09,0.006512793403601696,2.20975e-09,0.00891082889586726,2.2e-09,0.00826047584441964
2.22275e-09,0.002159153446991464,2.22275e-09,0.005461718697591262,2.22275e-09,0.008758017664230034,2.22275e-09,0.01205383296958369,2.20325e-09,0.009262947917848499
2.247575383443509e-09,0.00301705044395566,2.239720683510539e-09,0.007220525893560269,2.236868655835733e-09,0.01119620454030122,2.235185402647524e-09,0.01505981465390627,2.20975e-09,0.01129528518791379
2.283423111602265e-09,0.004257015343038387,2.262576094960058e-09,0.009591370998503606,2.255303159800856e-09,0.01438250844091016,2.250915562013681e-09,0.01886560664340964,2.221215145584229e-09,0.01485878801498119
2.298537283838756e-09,0.004779753962153816,2.306701685329821e-09,0.01440199855040867,2.289560341564143e-09,0.02030438487779694,2.279452771033318e-09,0.02576963006875461,2.232408793091136e-09,0.01833646290819287
2.307532855354688e-09,0.005177919548540711,2.318142742011463e-09,0.01598619164270082,2.303083334814022e-09,0.02282118469406045,2.300430346971442e-09,0.03088167748742035,2.245503142844977e-09,0.02240891203015362
2.318020558119671e-09,0.005663078813814301,2.333652020560462e-09,0.01813576998745599,2.317130752045676e-09,0.02606236235531163,2.308837417139807e-09,0.03359326087477681,2.269348761161287e-09,0.02982377245394463
2.338995963649636e-09,0.006630424455226949,2.364670577658458e-09,0.02242879853108725,2.329970764052384e-09,0.02902761475721864,2.318501929565967e-09,0.03672394464716082,2.302965834223721e-09,0.0405904888452912
2.373876286623877e-09,0.00824202597607478,2.396894232158881e-09,0.02689479211828433,2.354962917398593e-09,0.03479040591703533,2.337830954418285e-09,0.04295439526117661,2.312630736537399e-09,0.04459902731561308
2.391316448110997e-09,0.009046459774099135,2.401527874480559e-09,0.02737681546379275,2.379748808171729e-09,0.04051492618663204,2.35256908947054e-09,0.04772523775118313,2.32593293997844e-09,0.05013040468606902
2.400036528854557e-09,0.009448818387379945,2.406489068323429e-09,0.02754942911873837,2.400479412202085e-09,0.04521161265840153,2.382045359575049e-09,0.05723488171642833,2.341488869558774e-09,0.05657524289519122
2.40276198781382e-09,0.009482036105584866,2.410396370549296e-09,0.02767595003680193,2.403289737032596e-09,0.04539049976767479,2.398936806626774e-09,0.06270123829041037,2.356386839941541e-09,0.06277219635462469
2.406569143109536e-09,0.009521101402633857,2.418210975001028e-09,0.02795250243416381,2.408910386693618e-09,0.04568252584950375,2.403159668389705e-09,0.06330052144556191,2.386182780707076e-09,0.0751294488449145
2.414183453700968e-09,0.009611529644919856,2.427729149195935e-09,0.02827296321318212,2.417372199907476e-09,0.04619299489364172,2.411605391915568e-09,0.06396367793685034,2.400151653901968e-09,0.08089333615232948
2.425975150872714e-09,0.009743796962564,2.446765497585749e-09,0.02892717973715661,2.424650450212793e-09,0.04658921668067055,2.419057505427231e-09,0.06457217302569032,2.40290175595409e-09,0.08119114951711431
