/out1 (G=1) X,/out1 (G=1) Y,/out1 (G=3) X,/out1 (G=3) Y,/out1 (G=5) X,/out1 (G=5) Y,/out1 (G=7) X,/out1 (G=7) Y,/out1 (G=9) X,/out1 (G=9) Y
0,0,0,0,0,0,0,0,0,0
5e-11,6.249999999999999e-06,5e-11,1.875e-05,5e-11,3.125e-05,5e-11,4.374999999999999e-05,5e-11,5.625e-05
1.5e-10,1.875e-05,1.5e-10,5.625000000000001e-05,1.5e-10,9.374999999999999e-05,1.5e-10,0.00013125,1.5e-10,0.00016875
3.5e-10,4.374999999999999e-05,3.5e-10,0.00013125,3.5e-10,0.00021875,3.5e-10,0.0003062499999999999,3.5e-10,0.0003937499999999999
5e-10,6.25e-05,5e-10,0.0001875,5e-10,0.0003125,5e-10,0.0004375,5e-10,0.0005625000000000001
8.000000000000001e-10,1.817484668396497e-05,8.000000000000001e-10,5.434169239945067e-05,8.000000000000001e-10,9.0264758035177e-05,8.000000000000001e-10,0.0001259440640640325,8.000000000000001e-10,0.0001613796313345595
1.4e-09,-2.741017143322331e-05,1.4e-09,-8.322299125643759e-05,1.4e-09,-0.0001419630582813916,1.355664065748756e-09,-0.0001929083007209159,1.310938924777957e-09,-0.0002377226217895978
1.75e-09,-3.836057475772901e-05,1.75e-09,-0.0001177839217796335,1.75e-09,-0.000202189150409705,1.996930041951649e-09,-0.0003116404083242574,1.892351400452973e-09,-0.0004184311620619894
1.925e-09,-4.27092978856424e-05,1.925e-09,-0.0001317664647792348,1.925e-09,-0.0002268097180349782,2.033307592617926e-09,0.0002456205974473202,1.996175700226487e-09,-0.0004121191886767262
2.0125e-09,-1.181672384658084e-05,2.0125e-09,-3.98014694930439e-05,2.0125e-09,-7.420506653096212e-05,2.10606269395048e-09,0.001568315858231543,2.033106899388601e-09,0.0002977860091436104
2.057401315789474e-09,9.544229441030635e-05,2.057401315789474e-09,0.0002816098438775025,2.057401315789474e-09,0.0004611364651618899,2.154793306483335e-09,0.003235966382152518,2.106969297712829e-09,0.002037894418640632
